"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 1","1.0092","0.9997","1.0188"
"กาญจนบุรี","cumulative_Lag 1","0.9997","0.9732","1.027"
"กำแพงเพชร","cumulative_Lag 1","1.0166","0.974","1.061"
"ขอนแก่น","cumulative_Lag 1","1.0165","1.0036","1.0296"
"จันทบุรี","cumulative_Lag 1","1.0369","0.9596","1.1204"
"ฉะเชิงเทรา","cumulative_Lag 1","1.0313","1.0006","1.0629"
"ชลบุรี","cumulative_Lag 1","1.0109","0.9907","1.0315"
"ตรัง","cumulative_Lag 1","1.0538","0.9535","1.1647"
"ตราด","cumulative_Lag 1","1.0058","0.9151","1.1054"
"ตาก","cumulative_Lag 1","1.0207","0.9918","1.0505"
"นครปฐม","cumulative_Lag 1","1.0045","0.9786","1.031"
"นครพนม","cumulative_Lag 1","0.9901","0.9638","1.0172"
"นครราชสีมา","cumulative_Lag 1","1.0236","1.01","1.0375"
"นครศรีธรรมราช","cumulative_Lag 1","1.0653","1.004","1.1303"
"นครสวรรค์","cumulative_Lag 1","1.0201","0.9983","1.0423"
"นราธิวาส","cumulative_Lag 1","0.9941","0.9302","1.0624"
"น่าน","cumulative_Lag 1","1.001","0.9885","1.0137"
"บุรีรัมย์","cumulative_Lag 1","1.009","0.9745","1.0448"
"ปทุมธานี","cumulative_Lag 1","0.9842","0.9584","1.0108"
"ประจวบคีรีขันธ์","cumulative_Lag 1","1.0824","1.0142","1.1553"
"ปราจีนบุรี","cumulative_Lag 1","0.9968","0.9697","1.0248"
"พระนครศรีอยุธยา","cumulative_Lag 1","0.9862","0.9601","1.013"
"พะเยา","cumulative_Lag 1","1.0001","0.9838","1.0165"
"พิจิตร","cumulative_Lag 1","1.0536","0.9916","1.1195"
"พิษณุโลก","cumulative_Lag 1","1.0223","1.0044","1.0404"
"ภูเก็ต","cumulative_Lag 1","1.0775","0.9946","1.1674"
"มุกดาหาร","cumulative_Lag 1","0.967","0.8696","1.0752"
"ยะลา","cumulative_Lag 1","0.9516","0.8744","1.0355"
"ระยอง","cumulative_Lag 1","1.0128","0.982","1.0445"
"ราชบุรี","cumulative_Lag 1","1.0298","1.0089","1.0512"
"ลพบุรี","cumulative_Lag 1","1.0317","0.9847","1.081"
"ลำปาง","cumulative_Lag 1","0.9994","0.9855","1.0136"
"ลำพูน","cumulative_Lag 1","1.0009","0.9754","1.0271"
"สกลนคร","cumulative_Lag 1","1.0051","0.9726","1.0388"
"สงขลา","cumulative_Lag 1","1.0066","0.967","1.0478"
"สตูล","cumulative_Lag 1","0.8589","0.7781","0.948"
"สมุทรปราการ","cumulative_Lag 1","1.0299","1.0095","1.0508"
"สมุทรสงคราม","cumulative_Lag 1","0.9959","0.9391","1.0562"
"สระแก้ว","cumulative_Lag 1","0.987","0.9509","1.0246"
"สุพรรณบุรี","cumulative_Lag 1","1.0448","1.0132","1.0773"
"สุราษฎร์ธานี","cumulative_Lag 1","0.9928","0.9519","1.0355"
"สุโขทัย","cumulative_Lag 1","1.036","1.0033","1.0699"
"หนองคาย","cumulative_Lag 1","1.0083","0.9876","1.0295"
"อุดรธานี","cumulative_Lag 1","1.0199","0.9958","1.0445"
"อุตรดิตถ์","cumulative_Lag 1","1.0384","0.9988","1.0796"
"อุทัยธานี","cumulative_Lag 1","1.0507","0.9833","1.1227"
"อุบลราชธานี","cumulative_Lag 1","1.0026","0.9911","1.0142"
"เชียงราย","cumulative_Lag 1","0.9954","0.9889","1.0019"
"เชียงใหม่","cumulative_Lag 1","0.994","0.9841","1.004"
"เพชรบูรณ์","cumulative_Lag 1","1.0309","0.9867","1.0772"
"เลย","cumulative_Lag 1","0.9859","0.9681","1.004"
"แพร่","cumulative_Lag 1","0.9966","0.9779","1.0155"
"แม่ฮ่องสอน","cumulative_Lag 1","1.018","0.9957","1.0408"
