"Province","Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","Lag 6","1.0002","0.997","1.0033"
"กาญจนบุรี","Lag 6","1.0006","0.9919","1.0094"
"กำแพงเพชร","Lag 6","0.9801","0.9631","0.9973"
"ขอนแก่น","Lag 6","0.9996","0.9953","1.0039"
"จันทบุรี","Lag 6","1.0117","0.9856","1.0384"
"ฉะเชิงเทรา","Lag 6","0.9969","0.9864","1.0074"
"ชลบุรี","Lag 6","0.9962","0.9895","1.0029"
"ตรัง","Lag 6","1.0119","0.9775","1.0474"
"ตราด","Lag 6","0.9964","0.9662","1.0276"
"ตาก","Lag 6","0.9942","0.9848","1.0037"
"นครปฐม","Lag 6","1.0075","0.9988","1.0162"
"นครพนม","Lag 6","0.9927","0.9835","1.002"
"นครราชสีมา","Lag 6","0.9992","0.9947","1.0037"
"นครศรีธรรมราช","Lag 6","0.9897","0.9699","1.01"
"นครสวรรค์","Lag 6","0.9993","0.9918","1.0067"
"นราธิวาส","Lag 6","1.0007","0.9789","1.023"
"น่าน","Lag 6","0.9993","0.9947","1.0039"
"บุรีรัมย์","Lag 6","1.0052","0.9931","1.0175"
"ปทุมธานี","Lag 6","0.9969","0.9883","1.0056"
"ประจวบคีรีขันธ์","Lag 6","1.0074","0.9863","1.0289"
"ปราจีนบุรี","Lag 6","1.0013","0.9923","1.0103"
"พระนครศรีอยุธยา","Lag 6","0.9932","0.9845","1.0021"
"พะเยา","Lag 6","0.9964","0.9905","1.0024"
"พิจิตร","Lag 6","0.9999","0.9796","1.0206"
"พิษณุโลก","Lag 6","0.9986","0.9926","1.0046"
"ภูเก็ต","Lag 6","0.9922","0.9643","1.021"
"มุกดาหาร","Lag 6","0.9984","0.9633","1.0348"
"ยะลา","Lag 6","0.9944","0.9682","1.0214"
"ระยอง","Lag 6","0.9978","0.9878","1.0079"
"ราชบุรี","Lag 6","0.9954","0.9888","1.002"
"ลพบุรี","Lag 6","0.9947","0.9783","1.0114"
"ลำปาง","Lag 6","1.0026","0.9978","1.0075"
"ลำพูน","Lag 6","1.0092","1.0006","1.0178"
"สกลนคร","Lag 6","0.9956","0.9843","1.0071"
"สงขลา","Lag 6","1.0003","0.9864","1.0144"
"สตูล","Lag 6","0.972","0.94","1.0051"
"สมุทรปราการ","Lag 6","1.0008","0.9942","1.0075"
"สมุทรสงคราม","Lag 6","0.9992","0.9802","1.0187"
"สระแก้ว","Lag 6","1.0052","0.9931","1.0174"
"สุพรรณบุรี","Lag 6","1.0093","0.999","1.0197"
"สุราษฎร์ธานี","Lag 6","1.0082","0.9935","1.0232"
"สุโขทัย","Lag 6","1.0001","0.9883","1.0121"
"หนองคาย","Lag 6","1.0019","0.9947","1.0092"
"อุดรธานี","Lag 6","1.0009","0.9929","1.0089"
"อุตรดิตถ์","Lag 6","1.0084","0.9956","1.0213"
"อุทัยธานี","Lag 6","1.0083","0.9852","1.0319"
"อุบลราชธานี","Lag 6","0.9994","0.9953","1.0036"
"เชียงราย","Lag 6","0.9984","0.9961","1.0007"
"เชียงใหม่","Lag 6","1.0029","0.9995","1.0064"
"เพชรบูรณ์","Lag 6","0.9949","0.9793","1.0108"
"เลย","Lag 6","0.999","0.9929","1.0053"
"แพร่","Lag 6","1.005","0.9985","1.0116"
"แม่ฮ่องสอน","Lag 6","1.0063","0.9987","1.0139"
