"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 6","1.0111","0.9998","1.0225"
"กาญจนบุรี","cumulative_Lag 6","1.0203","0.9895","1.0521"
"กำแพงเพชร","cumulative_Lag 6","1.0113","0.9471","1.0799"
"ขอนแก่น","cumulative_Lag 6","1.0087","0.9925","1.0252"
"จันทบุรี","cumulative_Lag 6","0.9782","0.9041","1.0585"
"ฉะเชิงเทรา","cumulative_Lag 6","0.9883","0.9528","1.0252"
"ชลบุรี","cumulative_Lag 6","1.0152","0.9905","1.0405"
"ตรัง","cumulative_Lag 6","1.0605","0.9387","1.1981"
"ตราด","cumulative_Lag 6","0.9092","0.8293","0.9968"
"ตาก","cumulative_Lag 6","0.9929","0.9598","1.0271"
"นครปฐม","cumulative_Lag 6","1","0.9707","1.0302"
"นครพนม","cumulative_Lag 6","0.9652","0.9298","1.002"
"นครราชสีมา","cumulative_Lag 6","1.0269","1.0111","1.0429"
"นครศรีธรรมราช","cumulative_Lag 6","1.0164","0.9481","1.0896"
"นครสวรรค์","cumulative_Lag 6","1.0134","0.9868","1.0408"
"นราธิวาส","cumulative_Lag 6","1.0117","0.9343","1.0956"
"น่าน","cumulative_Lag 6","0.9915","0.9773","1.0059"
"บุรีรัมย์","cumulative_Lag 6","1.033","0.9876","1.0806"
"ปทุมธานี","cumulative_Lag 6","1.0045","0.9743","1.0357"
"ประจวบคีรีขันธ์","cumulative_Lag 6","1.0482","0.9741","1.128"
"ปราจีนบุรี","cumulative_Lag 6","0.9844","0.9546","1.0152"
"พระนครศรีอยุธยา","cumulative_Lag 6","1.0197","0.9877","1.0528"
"พะเยา","cumulative_Lag 6","1.0049","0.9863","1.0239"
"พิจิตร","cumulative_Lag 6","1.0992","1.0169","1.1882"
"พิษณุโลก","cumulative_Lag 6","0.9923","0.9716","1.0134"
"ภูเก็ต","cumulative_Lag 6","1.0284","0.929","1.1384"
"มุกดาหาร","cumulative_Lag 6","0.9706","0.8418","1.1191"
"ยะลา","cumulative_Lag 6","0.9876","0.8946","1.0903"
"ระยอง","cumulative_Lag 6","0.9837","0.9483","1.0203"
"ราชบุรี","cumulative_Lag 6","1.021","0.9989","1.0435"
"ลพบุรี","cumulative_Lag 6","1.0139","0.9523","1.0794"
"ลำปาง","cumulative_Lag 6","1.0045","0.988","1.0212"
"ลำพูน","cumulative_Lag 6","1.0005","0.9723","1.0296"
"สกลนคร","cumulative_Lag 6","0.9634","0.9247","1.0037"
"สงขลา","cumulative_Lag 6","1.0092","0.9595","1.0614"
"สตูล","cumulative_Lag 6","0.8599","0.7611","0.9716"
"สมุทรปราการ","cumulative_Lag 6","1.0363","1.0112","1.0621"
"สมุทรสงคราม","cumulative_Lag 6","1.0484","0.9826","1.1185"
"สระแก้ว","cumulative_Lag 6","1.0108","0.9719","1.0512"
"สุพรรณบุรี","cumulative_Lag 6","1.0421","1.0056","1.08"
"สุราษฎร์ธานี","cumulative_Lag 6","1.0051","0.9518","1.0614"
"สุโขทัย","cumulative_Lag 6","1.0194","0.9797","1.0608"
"หนองคาย","cumulative_Lag 6","1.0037","0.9781","1.03"
"อุดรธานี","cumulative_Lag 6","1.0129","0.9837","1.043"
"อุตรดิตถ์","cumulative_Lag 6","1.0033","0.9607","1.0478"
"อุทัยธานี","cumulative_Lag 6","1.0611","0.9772","1.1523"
"อุบลราชธานี","cumulative_Lag 6","0.9893","0.9744","1.0045"
"เชียงราย","cumulative_Lag 6","0.9951","0.989","1.0012"
"เชียงใหม่","cumulative_Lag 6","0.9974","0.9863","1.0085"
"เพชรบูรณ์","cumulative_Lag 6","0.9951","0.9391","1.0544"
"เลย","cumulative_Lag 6","0.9795","0.958","1.0015"
"แพร่","cumulative_Lag 6","1.0118","0.9883","1.0359"
"แม่ฮ่องสอน","cumulative_Lag 6","0.9965","0.9746","1.0188"
