"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 4","1.0112","1.001","1.0215"
"กาญจนบุรี","cumulative_Lag 4","1.0158","0.9871","1.0455"
"กำแพงเพชร","cumulative_Lag 4","1.0393","0.9795","1.1029"
"ขอนแก่น","cumulative_Lag 4","1.0117","0.9971","1.0266"
"จันทบุรี","cumulative_Lag 4","0.9765","0.9008","1.0586"
"ฉะเชิงเทรา","cumulative_Lag 4","1.0019","0.9687","1.0362"
"ชลบุรี","cumulative_Lag 4","1.0201","0.9976","1.0431"
"ตรัง","cumulative_Lag 4","1.0475","0.9351","1.1734"
"ตราด","cumulative_Lag 4","0.9301","0.8504","1.0173"
"ตาก","cumulative_Lag 4","1.0065","0.9747","1.0393"
"นครปฐม","cumulative_Lag 4","0.9918","0.9646","1.0198"
"นครพนม","cumulative_Lag 4","0.9778","0.9455","1.0112"
"นครราชสีมา","cumulative_Lag 4","1.029","1.0143","1.044"
"นครศรีธรรมราช","cumulative_Lag 4","1.0428","0.9762","1.1141"
"นครสวรรค์","cumulative_Lag 4","1.0169","0.9922","1.0423"
"นราธิวาส","cumulative_Lag 4","1.0073","0.9353","1.0849"
"น่าน","cumulative_Lag 4","0.9942","0.9806","1.0079"
"บุรีรัมย์","cumulative_Lag 4","1.0227","0.9795","1.0678"
"ปทุมธานี","cumulative_Lag 4","1.0037","0.9756","1.0326"
"ประจวบคีรีขันธ์","cumulative_Lag 4","1.0502","0.9783","1.1275"
"ปราจีนบุรี","cumulative_Lag 4","0.9848","0.9569","1.0134"
"พระนครศรีอยุธยา","cumulative_Lag 4","1.0214","0.9916","1.052"
"พะเยา","cumulative_Lag 4","1.0086","0.9911","1.0264"
"พิจิตร","cumulative_Lag 4","1.0952","1.0186","1.1776"
"พิษณุโลก","cumulative_Lag 4","1.0008","0.9813","1.0208"
"ภูเก็ต","cumulative_Lag 4","1.0525","0.9609","1.1529"
"มุกดาหาร","cumulative_Lag 4","0.9696","0.8506","1.1053"
"ยะลา","cumulative_Lag 4","0.9847","0.9","1.0773"
"ระยอง","cumulative_Lag 4","0.9923","0.9594","1.0263"
"ราชบุรี","cumulative_Lag 4","1.0306","1.0095","1.0521"
"ลพบุรี","cumulative_Lag 4","1.0261","0.9694","1.086"
"ลำปาง","cumulative_Lag 4","1.0003","0.9851","1.0157"
"ลำพูน","cumulative_Lag 4","0.9892","0.9637","1.0154"
"สกลนคร","cumulative_Lag 4","0.9763","0.9414","1.0126"
"สงขลา","cumulative_Lag 4","1.0088","0.9648","1.0547"
"สตูล","cumulative_Lag 4","0.8816","0.7876","0.9868"
"สมุทรปราการ","cumulative_Lag 4","1.0363","1.0136","1.0595"
"สมุทรสงคราม","cumulative_Lag 4","1.0396","0.978","1.1051"
"สระแก้ว","cumulative_Lag 4","0.9991","0.9627","1.0368"
"สุพรรณบุรี","cumulative_Lag 4","1.0337","0.999","1.0696"
"สุราษฎร์ธานี","cumulative_Lag 4","0.9922","0.945","1.0417"
"สุโขทัย","cumulative_Lag 4","1.0247","0.9856","1.0653"
"หนองคาย","cumulative_Lag 4","1.0027","0.9792","1.0268"
"อุดรธานี","cumulative_Lag 4","1.0144","0.9883","1.0412"
"อุตรดิตถ์","cumulative_Lag 4","1.0015","0.9619","1.0428"
"อุทัยธานี","cumulative_Lag 4","1.052","0.9728","1.1375"
"อุบลราชธานี","cumulative_Lag 4","0.9925","0.9792","1.0061"
"เชียงราย","cumulative_Lag 4","0.9968","0.9906","1.0031"
"เชียงใหม่","cumulative_Lag 4","0.9927","0.982","1.0035"
"เพชรบูรณ์","cumulative_Lag 4","1.0099","0.9558","1.067"
"เลย","cumulative_Lag 4","0.9808","0.9612","1.0009"
"แพร่","cumulative_Lag 4","1.0025","0.9813","1.0241"
"แม่ฮ่องสอน","cumulative_Lag 4","0.9937","0.9713","1.0165"
