"","model_1","model_2","model_3","model_4","model_5","model_6","model_7","model_8","model_9","model_10","model_11"
"1","cb_pollutant + ns(temperature, 3) + ns(humidity, 3) + ns(pressure, 3) + as.factor(is_holiday)","cb_pollutant","cb_pollutant + ns(temperature, 3)","cb_pollutant + ns(humidity, 3)","cb_pollutant + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3)","cb_pollutant + as.factor(is_holiday) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(pressure, 3)"
"2","331009.201873216","331813.466566501","331931.307107765","331895.093775294","331885.235390005","330608.696129094","330755.662970509","330706.598568518","330729.142375502","330863.008957008","330882.590038369"
