"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 6","1.0315","0.9891","1.0757"
"กาญจนบุรี","cumulative_Lag 6","0.9782","0.8987","1.0647"
"กำแพงเพชร","cumulative_Lag 6","0.9954","0.8257","1.1999"
"ขอนแก่น","cumulative_Lag 6","1.0312","0.9808","1.0841"
"จันทบุรี","cumulative_Lag 6","0.9323","0.7313","1.1886"
"ฉะเชิงเทรา","cumulative_Lag 6","0.9874","0.8937","1.0909"
"ชลบุรี","cumulative_Lag 6","0.9492","0.8783","1.0258"
"ตรัง","cumulative_Lag 6","1.2383","0.8748","1.7529"
"ตราด","cumulative_Lag 6","1.0022","0.8083","1.2428"
"ตาก","cumulative_Lag 6","0.9294","0.8575","1.0075"
"นครปฐม","cumulative_Lag 6","1.0236","0.9432","1.1107"
"นครพนม","cumulative_Lag 6","1.0489","0.9639","1.1413"
"นครราชสีมา","cumulative_Lag 6","1.0019","0.9559","1.0501"
"นครศรีธรรมราช","cumulative_Lag 6","1.0787","0.8889","1.3091"
"นครสวรรค์","cumulative_Lag 6","1.0128","0.9402","1.0911"
"นราธิวาส","cumulative_Lag 6","0.9954","0.831","1.1924"
"น่าน","cumulative_Lag 6","0.9497","0.9015","1.0006"
"บุรีรัมย์","cumulative_Lag 6","1.1559","0.9832","1.3589"
"ปทุมธานี","cumulative_Lag 6","0.9935","0.9037","1.0923"
"ประจวบคีรีขันธ์","cumulative_Lag 6","1.0429","0.8313","1.3083"
"ปราจีนบุรี","cumulative_Lag 6","0.9381","0.8614","1.0215"
"พระนครศรีอยุธยา","cumulative_Lag 6","1.0164","0.9365","1.1032"
"พะเยา","cumulative_Lag 6","1.0296","0.9714","1.0912"
"พิจิตร","cumulative_Lag 6","1.0597","0.8698","1.2911"
"พิษณุโลก","cumulative_Lag 6","0.9773","0.9058","1.0545"
"ภูเก็ต","cumulative_Lag 6","1.1622","0.8548","1.5801"
"มุกดาหาร","cumulative_Lag 6","0.9399","0.6522","1.3545"
"ยะลา","cumulative_Lag 6","1.0851","0.8827","1.3338"
"ระยอง","cumulative_Lag 6","0.9567","0.8661","1.0569"
"ราชบุรี","cumulative_Lag 6","1.0302","0.9586","1.1071"
"ลพบุรี","cumulative_Lag 6","1.1222","0.9544","1.3195"
"ลำปาง","cumulative_Lag 6","1.0014","0.9449","1.0613"
"ลำพูน","cumulative_Lag 6","0.9779","0.9142","1.0461"
"สกลนคร","cumulative_Lag 6","0.9986","0.8794","1.1339"
"สงขลา","cumulative_Lag 6","0.9459","0.8131","1.1003"
"สตูล","cumulative_Lag 6","0.7181","0.5718","0.9017"
"สมุทรปราการ","cumulative_Lag 6","1.037","0.9656","1.1136"
"สมุทรสงคราม","cumulative_Lag 6","1.2391","1.0913","1.4069"
"สระแก้ว","cumulative_Lag 6","1.174","1.0449","1.319"
"สุพรรณบุรี","cumulative_Lag 6","0.9745","0.8796","1.0797"
"สุราษฎร์ธานี","cumulative_Lag 6","0.9879","0.8391","1.1631"
"สุโขทัย","cumulative_Lag 6","0.9519","0.8655","1.0469"
"หนองคาย","cumulative_Lag 6","0.9906","0.9311","1.0539"
"อุดรธานี","cumulative_Lag 6","0.8858","0.8011","0.9794"
"อุตรดิตถ์","cumulative_Lag 6","0.9287","0.8206","1.051"
"อุทัยธานี","cumulative_Lag 6","1.0052","0.8157","1.2386"
"อุบลราชธานี","cumulative_Lag 6","1.046","0.996","1.0985"
"เชียงราย","cumulative_Lag 6","0.9926","0.9683","1.0174"
"เชียงใหม่","cumulative_Lag 6","1.0076","0.9702","1.0465"
"เพชรบูรณ์","cumulative_Lag 6","1.0501","0.9036","1.2203"
"เลย","cumulative_Lag 6","1.0163","0.9601","1.0758"
"แพร่","cumulative_Lag 6","1.0522","0.982","1.1275"
"แม่ฮ่องสอน","cumulative_Lag 6","0.9814","0.938","1.0267"
