"","model_1","model_2","model_3","model_4","model_5","model_6","model_7","model_8","model_9","model_10","model_11"
"1","cb_pollutant + ns(temperature, 3) + ns(humidity, 3) + ns(pressure, 3) + as.factor(is_holiday)","cb_pollutant","cb_pollutant + ns(temperature, 3)","cb_pollutant + ns(humidity, 3)","cb_pollutant + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3)","cb_pollutant + as.factor(is_holiday) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(pressure, 3)"
"2","134872.755653558","134700.799593716","134757.168163871","134783.191383235","134791.942723993","134606.642895731","134667.17960907","134690.928754164","134699.247702561","134792.961499066","134751.781544308"
