"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 3","1.0251","0.9886","1.0629"
"กาญจนบุรี","cumulative_Lag 3","0.9876","0.9146","1.0664"
"กำแพงเพชร","cumulative_Lag 3","1.0326","0.8955","1.1906"
"ขอนแก่น","cumulative_Lag 3","1.0405","0.9971","1.0857"
"จันทบุรี","cumulative_Lag 3","1.1998","0.9476","1.5191"
"ฉะเชิงเทรา","cumulative_Lag 3","1.0046","0.922","1.0945"
"ชลบุรี","cumulative_Lag 3","0.9557","0.8948","1.0208"
"ตรัง","cumulative_Lag 3","1.1878","0.8715","1.6189"
"ตราด","cumulative_Lag 3","0.8513","0.6865","1.0557"
"ตาก","cumulative_Lag 3","0.9968","0.9281","1.0706"
"นครปฐม","cumulative_Lag 3","1.0248","0.9517","1.1036"
"นครพนม","cumulative_Lag 3","1.0781","1.0056","1.1559"
"นครราชสีมา","cumulative_Lag 3","0.9924","0.9526","1.034"
"นครศรีธรรมราช","cumulative_Lag 3","0.9749","0.8181","1.1618"
"นครสวรรค์","cumulative_Lag 3","1.0174","0.9544","1.0845"
"นราธิวาส","cumulative_Lag 3","0.9694","0.8238","1.1408"
"น่าน","cumulative_Lag 3","0.9776","0.9348","1.0223"
"บุรีรัมย์","cumulative_Lag 3","1.1968","1.0418","1.3749"
"ปทุมธานี","cumulative_Lag 3","0.9728","0.8936","1.0591"
"ประจวบคีรีขันธ์","cumulative_Lag 3","1.1572","0.936","1.4308"
"ปราจีนบุรี","cumulative_Lag 3","0.94","0.8691","1.0166"
"พระนครศรีอยุธยา","cumulative_Lag 3","0.9884","0.9198","1.0621"
"พะเยา","cumulative_Lag 3","1.0211","0.9695","1.0755"
"พิจิตร","cumulative_Lag 3","0.9755","0.8272","1.1503"
"พิษณุโลก","cumulative_Lag 3","1.0077","0.9423","1.0776"
"ภูเก็ต","cumulative_Lag 3","1.1204","0.8718","1.4398"
"มุกดาหาร","cumulative_Lag 3","0.9354","0.6815","1.284"
"ยะลา","cumulative_Lag 3","0.9017","0.7541","1.0782"
"ระยอง","cumulative_Lag 3","0.971","0.8899","1.0597"
"ราชบุรี","cumulative_Lag 3","1.0136","0.9481","1.0835"
"ลพบุรี","cumulative_Lag 3","1.0696","0.9347","1.2239"
"ลำปาง","cumulative_Lag 3","0.9968","0.9465","1.0497"
"ลำพูน","cumulative_Lag 3","0.9921","0.9369","1.0506"
"สกลนคร","cumulative_Lag 3","1.0234","0.9212","1.137"
"สงขลา","cumulative_Lag 3","0.9566","0.843","1.0856"
"สตูล","cumulative_Lag 3","0.6736","0.5497","0.8254"
"สมุทรปราการ","cumulative_Lag 3","1.0219","0.9609","1.0868"
"สมุทรสงคราม","cumulative_Lag 3","1.1937","1.0675","1.3347"
"สระแก้ว","cumulative_Lag 3","1.1883","1.0744","1.3144"
"สุพรรณบุรี","cumulative_Lag 3","1.0066","0.9156","1.1066"
"สุราษฎร์ธานี","cumulative_Lag 3","0.9933","0.8672","1.1376"
"สุโขทัย","cumulative_Lag 3","0.9577","0.8781","1.0445"
"หนองคาย","cumulative_Lag 3","1.0052","0.9522","1.061"
"อุดรธานี","cumulative_Lag 3","0.9448","0.8703","1.0257"
"อุตรดิตถ์","cumulative_Lag 3","0.9807","0.8801","1.0928"
"อุทัยธานี","cumulative_Lag 3","1.0169","0.8485","1.2187"
"อุบลราชธานี","cumulative_Lag 3","1.0261","0.9862","1.0676"
"เชียงราย","cumulative_Lag 3","1.0038","0.9802","1.0279"
"เชียงใหม่","cumulative_Lag 3","1.0103","0.9756","1.0463"
"เพชรบูรณ์","cumulative_Lag 3","1.0839","0.9529","1.2329"
"เลย","cumulative_Lag 3","1.0035","0.955","1.0545"
"แพร่","cumulative_Lag 3","1.0216","0.9614","1.0856"
"แม่ฮ่องสอน","cumulative_Lag 3","0.9671","0.9242","1.012"
