"Province","RR","Lower","Upper"
"Bangkok",1.0448,1.0283,1.0615
"Kanchanaburi",1.0108,0.9816,1.0409
"Kamphaeng Phet",1.0215,0.9511,1.0971
"Khon Kaen",1.0164,0.9947,1.0385
"Chanthaburi",1.0238,0.9259,1.132
"Chachoengsao",1.0589,1.0184,1.1009
"Chon Buri",1.0414,1.0116,1.0721
"Trang",0.8719,0.7415,1.0251
"Trat",1.1029,0.9917,1.2266
"Tak",0.9867,0.9507,1.024
"Nakhon Pathom",1.0605,1.026,1.0961
"Nakhon Phanom",1.0087,0.9731,1.0456
"Nakhon Ratchasima",1.0656,1.0429,1.0887
"Nakhon Si Thammarat",1.0528,0.9869,1.1232
"Nakhon Sawan",1.0273,0.9952,1.0605
"Narathiwat",1.0135,0.9536,1.0772
"Nan",0.9957,0.9725,1.0195
"Buri Ram",1.076,1.016,1.1395
"Pathum Thani",1.0199,0.9846,1.0565
"Prachuap Khiri Khan",1.1442,1.0584,1.2369
"Prachin Buri",1.0336,0.9963,1.0722
"Phra Nakhon Si Ayutthaya",1.023,0.9881,1.059
"Phayao",0.9794,0.9547,1.0048
"Phichit",1.0079,0.9326,1.0893
"Phitsanulok",1.0476,1.0193,1.0767
"Phuket",0.9883,0.8746,1.1168
"Mukdahan",0.9297,0.7729,1.1183
"Yala",1.0136,0.9473,1.0845
"Rayong",1.0268,0.9848,1.0705
"Ratchaburi",1.0203,0.9986,1.0425
"Lop Buri",1.1005,1.0338,1.1715
"Lampang",1.0028,0.9792,1.0271
"Lamphun",1.0143,0.984,1.0455
"Sakon Nakhon",1.0345,0.9782,1.0941
"Songkhla",1.0376,0.9866,1.0912
"Satun",0.9967,0.9025,1.1009
"Samut Prakan",1.0195,0.99,1.0498
"Samut Songkhram",1.0919,1.0266,1.1613
"Sa Kaeo",1.0387,0.9964,1.0827
"Suphan Buri",1.0385,0.998,1.0808
"Surat Thani",1.0783,1.0184,1.1419
"Sukhothai",1.0254,0.9845,1.0679
"Nong Khai",1.0006,0.9721,1.0299
"Udon Thani",1.0624,1.0222,1.1043
"Uttaradit",1.0139,0.9536,1.078
"Uthai Thani",1.0676,0.9805,1.1624
"Ubon Ratchathani",1.0142,0.995,1.0338
"Chiang Rai",0.989,0.98,0.9982
"Chiang Mai",1.0132,0.9986,1.0281
"Phetchabun",1.0184,0.948,1.0941
"Loei",0.9833,0.956,1.0115
"Phrae",1.0052,0.9769,1.0343
"Mae Hong Son",1.0206,0.9957,1.0462
