"Province","cumulative_Lag","RR","Lower","Upper"
"Bangkok","cumulative_Lag 2","1.0315","1.0167","1.0466"
"Kanchanaburi","cumulative_Lag 2","1.0128","0.9843","1.042"
"Kamphaeng Phet","cumulative_Lag 2","0.9749","0.9195","1.0336"
"Khon Kaen","cumulative_Lag 2","1.0353","1.016","1.0549"
"Chanthaburi","cumulative_Lag 2","0.9879","0.8822","1.1061"
"Chachoengsao","cumulative_Lag 2","1.0629","1.026","1.1012"
"Chon Buri","cumulative_Lag 2","1.0492","1.0219","1.0773"
"Trang","cumulative_Lag 2","0.9753","0.8407","1.1316"
"Trat","cumulative_Lag 2","1.0935","0.9737","1.2281"
"Tak","cumulative_Lag 2","0.987","0.9516","1.0237"
"Nakhon Pathom","cumulative_Lag 2","1.0414","1.0096","1.0743"
"Nakhon Phanom","cumulative_Lag 2","0.9943","0.9641","1.0254"
"Nakhon Ratchasima","cumulative_Lag 2","1.0597","1.0385","1.0814"
"Nakhon Si Thammarat","cumulative_Lag 2","1.0762","1.0099","1.1468"
"Nakhon Sawan","cumulative_Lag 2","1.0199","0.9904","1.0502"
"Narathiwat","cumulative_Lag 2","0.971","0.918","1.0271"
"Nan","cumulative_Lag 2","1.0067","0.9835","1.0305"
"Buri Ram","cumulative_Lag 2","1.0388","0.9855","1.095"
"Pathum Thani","cumulative_Lag 2","1.0131","0.9799","1.0473"
"Prachuap Khiri Khan","cumulative_Lag 2","1.068","0.9867","1.156"
"Prachin Buri","cumulative_Lag 2","1.0522","1.0158","1.0899"
"Phra Nakhon Si Ayutthaya","cumulative_Lag 2","1.014","0.9823","1.0468"
"Phayao","cumulative_Lag 2","0.9884","0.965","1.0124"
"Phichit","cumulative_Lag 2","1.0195","0.9525","1.0912"
"Phitsanulok","cumulative_Lag 2","1.0254","0.9996","1.0518"
"Phuket","cumulative_Lag 2","0.9856","0.8851","1.0975"
"Mukdahan","cumulative_Lag 2","0.936","0.797","1.0993"
"Yala","cumulative_Lag 2","1.0714","1.006","1.1411"
"Rayong","cumulative_Lag 2","1.0498","1.0098","1.0913"
"Ratchaburi","cumulative_Lag 2","1.0374","1.0153","1.0599"
"Lop Buri","cumulative_Lag 2","1.1068","1.0488","1.168"
"Lampang","cumulative_Lag 2","0.9917","0.9699","1.0141"
"Lamphun","cumulative_Lag 2","0.9983","0.9704","1.027"
"Sakon Nakhon","cumulative_Lag 2","1.0088","0.9591","1.0611"
"Songkhla","cumulative_Lag 2","1.0298","0.9854","1.0763"
"Satun","cumulative_Lag 2","0.9662","0.886","1.0537"
"Samut Prakan","cumulative_Lag 2","1.0312","1.0041","1.0591"
"Samut Songkhram","cumulative_Lag 2","1.0009","0.943","1.0622"
"Sa Kaeo","cumulative_Lag 2","1.0363","0.9928","1.0816"
"Suphan Buri","cumulative_Lag 2","0.9814","0.9445","1.0198"
"Surat Thani","cumulative_Lag 2","1.0367","0.9858","1.0901"
"Sukhothai","cumulative_Lag 2","1.0352","0.9968","1.075"
"Nong Khai","cumulative_Lag 2","1.0205","0.9943","1.0473"
"Udon Thani","cumulative_Lag 2","1.0406","1.0056","1.0768"
"Uttaradit","cumulative_Lag 2","1.0159","0.9564","1.079"
"Uthai Thani","cumulative_Lag 2","1.0411","0.9626","1.1261"
"Ubon Ratchathani","cumulative_Lag 2","1.0199","1.0029","1.0372"
"Chiang Rai","cumulative_Lag 2","0.9901","0.9793","1.001"
"Chiang Mai","cumulative_Lag 2","1.0153","1.0006","1.0301"
"Phetchabun","cumulative_Lag 2","1.0328","0.9701","1.0995"
"Loei","cumulative_Lag 2","0.9975","0.9728","1.0228"
"Phrae","cumulative_Lag 2","0.987","0.9618","1.0129"
"Mae Hong Son","cumulative_Lag 2","1.0111","0.9839","1.0392"
