"","model_1","model_2","model_3","model_4","model_5","model_6","model_7","model_8","model_9","model_10","model_11"
"1","cb_pollutant + ns(temperature, 3) + ns(humidity, 3) + ns(pressure, 3) + as.factor(is_holiday)","cb_pollutant","cb_pollutant + ns(temperature, 3)","cb_pollutant + ns(humidity, 3)","cb_pollutant + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3)","cb_pollutant + as.factor(is_holiday) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(pressure, 3)"
"2","305363.082805658","305673.516041649","305445.746736497","305645.488555386","305649.38412963","305325.616035861","305153.617266363","305314.09062749","305325.298732792","305221.419446511","305268.779478565"
