"Province","Q-AIC"
"กรุงเทพมหานคร",13540.8806327527
"กาญจนบุรี",9568.86059969928
"กำแพงเพชร",1811.67411245237
"ขอนแก่น",10440.8060468786
"จันทบุรี",1752.49627174584
"ฉะเชิงเทรา",6279.68986052792
"ชลบุรี",10052.0929017261
"ตรัง",3001.43341290365
"ตราด",2488.4838697237
"ตาก",7455.89445391581
"นครปฐม",6119.51531857074
"นครพนม",3620.14918051003
"นครราชสีมา",8166.60447305337
"นครศรีธรรมราช",4635.38193192614
"นครสวรรค์",7682.9640585826
"นนทบุรี",NA
"นราธิวาส",8861.8188093992
"น่าน",7451.25762159638
"บุรีรัมย์",2070.36288834479
"ปทุมธานี",6592.15480022101
"ประจวบคีรีขันธ์",1610.96753987302
"ปราจีนบุรี",8339.11027176751
"พระนครศรีอยุธยา",7277.38731218963
"พะเยา",5738.42706220713
"พิจิตร",1791.79824821116
"พิษณุโลก",4019.0404640748
"ภูเก็ต",4556.23067656559
"มุกดาหาร",999.982118690773
"ยะลา",8824.23587589864
"ระยอง",8478.14564377456
"ราชบุรี",9964.21528917449
"ลพบุรี",1976.39965930728
"ลำปาง",7119.06963789635
"ลำพูน",6701.22293382593
"สกลนคร",3241.76781102918
"สงขลา",9430.36245339083
"สตูล",6347.11653257992
"สมุทรปราการ",9509.82893889807
"สมุทรสงคราม",3446.44392258721
"สมุทรสาคร",NA
"สระบุรี",NA
"สระแก้ว",6243.56161840219
"สุพรรณบุรี",4195.4316984599
"สุราษฎร์ธานี",7708.42381927385
"สุโขทัย",1760.40237048215
"หนองคาย",4739.66787442439
"อุดรธานี",3841.31203061779
"อุตรดิตถ์",2750.92445257033
"อุทัยธานี",1516.29118889125
"อุบลราชธานี",6405.96977177308
"เชียงราย",8373.57179394195
"เชียงใหม่",11511.7037127137
"เพชรบูรณ์",1980.71625211684
"เลย",6651.04975173112
"แพร่",6088.47669820392
"แม่ฮ่องสอน",4040.79522162283
