"Province","Lag","RR","Lower","Upper"
"Bangkok","Lag 1","1.0106","1.006","1.0153"
"Buri Ram","Lag 1","1.0161","0.9993","1.0332"
"Chachoengsao","Lag 1","1.02","1.0089","1.0312"
"Chanthaburi","Lag 1","0.9993","0.9661","1.0338"
"Chiang Mai","Lag 1","1.0045","1","1.0091"
"Chiang Rai","Lag 1","0.9964","0.9931","0.9997"
"Chon Buri","Lag 1","1.0155","1.0069","1.0241"
"Kamphaeng Phet","Lag 1","0.9935","0.9753","1.0122"
"Kanchanaburi","Lag 1","1.0046","0.9957","1.0136"
"Khon Kaen","Lag 1","1.0113","1.0052","1.0174"
"Lampang","Lag 1","0.9978","0.991","1.0047"
"Lamphun","Lag 1","1.001","0.9922","1.01"
"Loei","Lag 1","0.9998","0.992","1.0077"
"Lop Buri","Lag 1","1.0393","1.0217","1.0571"
"Mae Hong Son","Lag 1","1.0032","0.9953","1.0112"
"Mukdahan","Lag 1","1.0033","0.9521","1.0572"
"Nakhon Pathom","Lag 1","1.0133","1.0034","1.0233"
"Nakhon Phanom","Lag 1","1.0016","0.9919","1.0114"
"Nakhon Ratchasima","Lag 1","1.0192","1.0128","1.0257"
"Nakhon Sawan","Lag 1","1.007","0.9978","1.0163"
"Nakhon Si Thammarat","Lag 1","1.0194","0.9995","1.0397"
"Nan","Lag 1","1.0015","0.9945","1.0086"
"Narathiwat","Lag 1","0.9899","0.9725","1.0076"
"Nong Khai","Lag 1","1.0073","0.999","1.0157"
"Pathum Thani","Lag 1","1.0015","0.9911","1.012"
"Phayao","Lag 1","0.9945","0.9872","1.0019"
"Phetchabun","Lag 1","1.0061","0.9862","1.0264"
"Phichit","Lag 1","1.0042","0.9828","1.0261"
"Phitsanulok","Lag 1","1.0102","1.0023","1.0181"
"Phra Nakhon Si Ayutthaya","Lag 1","1.005","0.9949","1.0152"
"Phrae","Lag 1","0.997","0.989","1.0051"
"Phuket","Lag 1","0.9932","0.9598","1.0278"
"Prachin Buri","Lag 1","1.0153","1.0042","1.0266"
"Prachuap Khiri Khan","Lag 1","1.0262","1.0017","1.0513"
"Ratchaburi","Lag 1","1.0122","1.0054","1.0189"
"Rayong","Lag 1","1.0171","1.0046","1.0298"
"Sa Kaeo","Lag 1","1.0108","0.9976","1.0243"
"Sakon Nakhon","Lag 1","1.0039","0.9881","1.0199"
"Samut Prakan","Lag 1","1.0099","1.0014","1.0185"
"Samut Songkhram","Lag 1","0.9994","0.9815","1.0176"
"Satun","Lag 1","0.9987","0.9721","1.0261"
"Songkhla","Lag 1","1.0109","0.9967","1.0253"
"Sukhothai","Lag 1","1.0109","0.9987","1.0233"
"Suphan Buri","Lag 1","0.9978","0.9859","1.01"
"Surat Thani","Lag 1","1.0131","0.997","1.0294"
"Tak","Lag 1","0.9967","0.9855","1.0081"
"Trang","Lag 1","0.9824","0.9375","1.0295"
"Trat","Lag 1","1.0393","1.0052","1.0746"
"Ubon Ratchathani","Lag 1","1.0069","1.0016","1.0123"
"Udon Thani","Lag 1","1.0146","1.0036","1.0256"
"Uthai Thani","Lag 1","1.0108","0.9865","1.0357"
"Uttaradit","Lag 1","1.0013","0.9833","1.0197"
"Yala","Lag 1","1.0144","0.9946","1.0346"
