"Province","cumulative_Lag","RR","Lower","Upper"
"Bangkok","cumulative_Lag 4","1.0427","1.0275","1.0581"
"Buri Ram","cumulative_Lag 4","1.0687","1.0081","1.133"
"Chachoengsao","cumulative_Lag 4","1.0573","1.0194","1.0966"
"Chanthaburi","cumulative_Lag 4","0.9929","0.8919","1.1054"
"Chiang Mai","cumulative_Lag 4","1.0115","0.997","1.0263"
"Chiang Rai","cumulative_Lag 4","0.99","0.9803","0.9998"
"Chon Buri","cumulative_Lag 4","1.0443","1.016","1.0734"
"Kamphaeng Phet","cumulative_Lag 4","0.9811","0.9157","1.0511"
"Kanchanaburi","cumulative_Lag 4","1.0118","0.9835","1.0409"
"Khon Kaen","cumulative_Lag 4","1.0233","1.0029","1.0442"
"Lampang","cumulative_Lag 4","0.9982","0.976","1.021"
"Lamphun","cumulative_Lag 4","1.014","0.9857","1.0431"
"Loei","cumulative_Lag 4","0.9829","0.9573","1.0093"
"Lop Buri","cumulative_Lag 4","1.0872","1.025","1.1531"
"Mae Hong Son","cumulative_Lag 4","1.0137","0.989","1.0389"
"Mukdahan","cumulative_Lag 4","0.9753","0.814","1.1687"
"Nakhon Pathom","cumulative_Lag 4","1.0593","1.0267","1.0929"
"Nakhon Phanom","cumulative_Lag 4","0.9986","0.9652","1.0331"
"Nakhon Ratchasima","cumulative_Lag 4","1.0648","1.0432","1.0869"
"Nakhon Sawan","cumulative_Lag 4","1.0256","0.9948","1.0573"
"Nakhon Si Thammarat","cumulative_Lag 4","1.032","0.9674","1.1008"
"Nan","cumulative_Lag 4","1.0068","0.9839","1.0303"
"Narathiwat","cumulative_Lag 4","0.9922","0.9356","1.0522"
"Nong Khai","cumulative_Lag 4","1.0007","0.9736","1.0285"
"Pathum Thani","cumulative_Lag 4","1.0235","0.9898","1.0583"
"Phayao","cumulative_Lag 4","0.9806","0.9572","1.0045"
"Phetchabun","cumulative_Lag 4","1.0034","0.9342","1.0777"
"Phichit","cumulative_Lag 4","1.0157","0.9429","1.0942"
"Phitsanulok","cumulative_Lag 4","1.0364","1.0096","1.064"
"Phra Nakhon Si Ayutthaya","cumulative_Lag 4","1.0214","0.9885","1.0553"
"Phrae","cumulative_Lag 4","0.9934","0.9674","1.0201"
"Phuket","cumulative_Lag 4","0.9755","0.8702","1.0936"
"Prachin Buri","cumulative_Lag 4","1.0447","1.0089","1.0818"
"Prachuap Khiri Khan","cumulative_Lag 4","1.1184","1.0331","1.2106"
"Ratchaburi","cumulative_Lag 4","1.025","1.0041","1.0463"
"Rayong","cumulative_Lag 4","1.03","0.9903","1.0713"
"Sa Kaeo","cumulative_Lag 4","1.0362","0.9954","1.0788"
"Sakon Nakhon","cumulative_Lag 4","1.0281","0.9756","1.0833"
"Samut Prakan","cumulative_Lag 4","1.0312","1.0033","1.0599"
"Samut Songkhram","cumulative_Lag 4","1.0532","0.994","1.1159"
"Satun","cumulative_Lag 4","0.9953","0.9094","1.0893"
"Songkhla","cumulative_Lag 4","1.0321","0.9849","1.0814"
"Sukhothai","cumulative_Lag 4","1.0162","0.9747","1.0596"
"Suphan Buri","cumulative_Lag 4","1.0074","0.9679","1.0485"
"Surat Thani","cumulative_Lag 4","1.0665","1.0108","1.1253"
"Tak","cumulative_Lag 4","0.9912","0.9545","1.0292"
"Trang","cumulative_Lag 4","0.9315","0.7973","1.0881"
"Trat","cumulative_Lag 4","1.1058","1.0002","1.2225"
"Ubon Ratchathani","cumulative_Lag 4","1.0145","0.9966","1.0326"
"Udon Thani","cumulative_Lag 4","1.0562","1.0191","1.0947"
"Uthai Thani","cumulative_Lag 4","1.0512","0.9649","1.1452"
"Uttaradit","cumulative_Lag 4","1.0313","0.9734","1.0927"
"Yala","cumulative_Lag 4","1.0418","0.9778","1.1101"
