"","model_1","model_2","model_3","model_4","model_5","model_6","model_7","model_8","model_9","model_10","model_11","model_12"
"1","cb_pollutant + ns(temperature, 3) + ns(humidity, 3) + ns(pressure, 3) + as.factor(is_holiday)","cb_pollutant","cb_pollutant + ns(temperature, 3)","cb_pollutant + ns(humidity, 3)","cb_pollutant + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3)","cb_pollutant + as.factor(is_holiday) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + as.factor(is_lotteryday)"
"2","304781.978003936","305079.965194422","304848.381309698","305056.827355362","305058.111534813","304748.256396329","304571.23270593","304740.484209723","304749.901469563","304637.367899281","304688.530461879","304629.192948805"
