"Province","Lag","RR","Lower","Upper"
"Bangkok","Lag 6","1.0017","0.9971","1.0062"
"Buri Ram","Lag 6","0.9995","0.983","1.0163"
"Chachoengsao","Lag 6","1.0049","0.9936","1.0163"
"Chanthaburi","Lag 6","1.0141","0.9793","1.0503"
"Chiang Mai","Lag 6","1.0022","0.9976","1.0068"
"Chiang Rai","Lag 6","0.9998","0.9963","1.0033"
"Chon Buri","Lag 6","1.0034","0.995","1.0119"
"Kamphaeng Phet","Lag 6","1.0211","1.0003","1.0423"
"Kanchanaburi","Lag 6","0.9998","0.9911","1.0085"
"Khon Kaen","Lag 6","0.996","0.9901","1.002"
"Lampang","Lag 6","1.0027","0.9955","1.0098"
"Lamphun","Lag 6","0.9978","0.9888","1.0069"
"Loei","Lag 6","1.0035","0.9954","1.0116"
"Lop Buri","Lag 6","1.0078","0.9902","1.0258"
"Mae Hong Son","Lag 6","1.0012","0.9922","1.0103"
"Mukdahan","Lag 6","0.9974","0.9485","1.0488"
"Nakhon Pathom","Lag 6","1.0029","0.9931","1.0128"
"Nakhon Phanom","Lag 6","1.0089","0.9997","1.0183"
"Nakhon Ratchasima","Lag 6","1.0011","0.9946","1.0075"
"Nakhon Sawan","Lag 6","1.004","0.9947","1.0133"
"Nakhon Si Thammarat","Lag 6","1.021","1.0012","1.0412"
"Nan","Lag 6","0.9907","0.9827","0.9987"
"Narathiwat","Lag 6","1.0174","1.0002","1.0349"
"Nong Khai","Lag 6","1.0029","0.9947","1.0112"
"Pathum Thani","Lag 6","1.0016","0.9915","1.0118"
"Phayao","Lag 6","0.9993","0.9914","1.0074"
"Phetchabun","Lag 6","1.0071","0.987","1.0277"
"Phichit","Lag 6","1.0033","0.9825","1.0245"
"Phitsanulok","Lag 6","1.0046","0.9966","1.0126"
"Phra Nakhon Si Ayutthaya","Lag 6","1.0002","0.9903","1.0103"
"Phrae","Lag 6","1.0122","1.0041","1.0203"
"Phuket","Lag 6","1.0279","0.9938","1.0632"
"Prachin Buri","Lag 6","0.9955","0.9845","1.0067"
"Prachuap Khiri Khan","Lag 6","1.0081","0.9844","1.0324"
"Ratchaburi","Lag 6","1.0005","0.9938","1.0071"
"Rayong","Lag 6","1.0135","1.0015","1.0256"
"Sa Kaeo","Lag 6","1.0025","0.9891","1.0161"
"Sakon Nakhon","Lag 6","1.0005","0.9841","1.0172"
"Samut Prakan","Lag 6","0.9944","0.9863","1.0027"
"Samut Songkhram","Lag 6","1.0036","0.9859","1.0216"
"Satun","Lag 6","1.0044","0.9778","1.0317"
"Songkhla","Lag 6","0.9994","0.985","1.0141"
"Sukhothai","Lag 6","1.005","0.9924","1.0177"
"Suphan Buri","Lag 6","1.0151","1.0035","1.0269"
"Surat Thani","Lag 6","1.0051","0.9888","1.0217"
"Tak","Lag 6","0.9997","0.9888","1.0106"
"Trang","Lag 6","0.9646","0.9209","1.0103"
"Trat","Lag 6","0.9844","0.9508","1.0193"
"Ubon Ratchathani","Lag 6","0.9992","0.9937","1.0048"
"Udon Thani","Lag 6","1","0.9891","1.011"
"Uthai Thani","Lag 6","1.0171","0.9928","1.0421"
"Uttaradit","Lag 6","0.9888","0.9699","1.008"
"Yala","Lag 6","0.9849","0.9665","1.0037"
