"Province","cumulative_Lag","RR","Lower","Upper"
"Bangkok","cumulative_Lag 2","1.0324","1.0177","1.0472"
"Buri Ram","cumulative_Lag 2","1.0489","0.9964","1.1042"
"Chachoengsao","cumulative_Lag 2","1.0632","1.0277","1.1"
"Chanthaburi","cumulative_Lag 2","0.9993","0.8992","1.1105"
"Chiang Mai","cumulative_Lag 2","1.0143","1.0002","1.0286"
"Chiang Rai","cumulative_Lag 2","0.9889","0.9789","0.999"
"Chon Buri","cumulative_Lag 2","1.0487","1.0213","1.0767"
"Kamphaeng Phet","cumulative_Lag 2","0.9816","0.9273","1.0391"
"Kanchanaburi","cumulative_Lag 2","1.0143","0.9867","1.0428"
"Khon Kaen","cumulative_Lag 2","1.0355","1.0162","1.0552"
"Lampang","cumulative_Lag 2","0.9932","0.9722","1.0147"
"Lamphun","cumulative_Lag 2","1.0023","0.975","1.0304"
"Loei","cumulative_Lag 2","1.0007","0.9766","1.0254"
"Lop Buri","cumulative_Lag 2","1.1284","1.0705","1.1895"
"Mae Hong Son","cumulative_Lag 2","1.0097","0.9849","1.0352"
"Mukdahan","cumulative_Lag 2","1.0123","0.862","1.1889"
"Nakhon Pathom","cumulative_Lag 2","1.0403","1.0091","1.0725"
"Nakhon Phanom","cumulative_Lag 2","1.006","0.9763","1.0367"
"Nakhon Ratchasima","cumulative_Lag 2","1.0597","1.0392","1.0807"
"Nakhon Sawan","cumulative_Lag 2","1.0216","0.9929","1.0511"
"Nakhon Si Thammarat","cumulative_Lag 2","1.064","1.001","1.1311"
"Nan","cumulative_Lag 2","1.0038","0.9821","1.0261"
"Narathiwat","cumulative_Lag 2","0.969","0.9171","1.0238"
"Nong Khai","cumulative_Lag 2","1.0244","0.9985","1.0509"
"Pathum Thani","cumulative_Lag 2","1.0036","0.9715","1.0366"
"Phayao","cumulative_Lag 2","0.9835","0.9612","1.0063"
"Phetchabun","cumulative_Lag 2","1.0204","0.9596","1.085"
"Phichit","cumulative_Lag 2","1.0131","0.9479","1.0828"
"Phitsanulok","cumulative_Lag 2","1.0315","1.0067","1.0569"
"Phra Nakhon Si Ayutthaya","cumulative_Lag 2","1.0151","0.9838","1.0474"
"Phrae","cumulative_Lag 2","0.9915","0.967","1.0165"
"Phuket","cumulative_Lag 2","0.9815","0.8829","1.0912"
"Prachin Buri","cumulative_Lag 2","1.0476","1.0121","1.0844"
"Prachuap Khiri Khan","cumulative_Lag 2","1.0808","1.0026","1.165"
"Ratchaburi","cumulative_Lag 2","1.0386","1.0172","1.0605"
"Rayong","cumulative_Lag 2","1.0559","1.0161","1.0973"
"Sa Kaeo","cumulative_Lag 2","1.0336","0.9917","1.0773"
"Sakon Nakhon","cumulative_Lag 2","1.0109","0.9624","1.0619"
"Samut Prakan","cumulative_Lag 2","1.0301","1.0035","1.0576"
"Samut Songkhram","cumulative_Lag 2","0.9949","0.9406","1.0523"
"Satun","cumulative_Lag 2","0.9965","0.9163","1.0837"
"Songkhla","cumulative_Lag 2","1.0338","0.9893","1.0804"
"Sukhothai","cumulative_Lag 2","1.0354","0.9974","1.0748"
"Suphan Buri","cumulative_Lag 2","0.9935","0.9571","1.0313"
"Surat Thani","cumulative_Lag 2","1.0393","0.9891","1.0921"
"Tak","cumulative_Lag 2","0.9899","0.9558","1.0253"
"Trang","cumulative_Lag 2","0.9459","0.8186","1.0931"
"Trat","cumulative_Lag 2","1.1256","1.0135","1.2501"
"Ubon Ratchathani","cumulative_Lag 2","1.0218","1.0053","1.0386"
"Udon Thani","cumulative_Lag 2","1.0445","1.01","1.0803"
"Uthai Thani","cumulative_Lag 2","1.0336","0.9587","1.1143"
"Uttaradit","cumulative_Lag 2","1.0015","0.9462","1.0601"
"Yala","cumulative_Lag 2","1.0439","0.9819","1.1098"
