"Province","Lag","RR","Lower","Upper"
"Bangkok","Lag 0","1.0133","1.0038","1.0228"
"Buri Ram","Lag 0","1.0182","0.9856","1.0519"
"Chachoengsao","Lag 0","1.0348","1.0125","1.0575"
"Chanthaburi","Lag 0","1.0039","0.9333","1.0798"
"Chiang Mai","Lag 0","1.0086","0.9994","1.0178"
"Chiang Rai","Lag 0","0.9939","0.9869","1.0009"
"Chon Buri","Lag 0","1.0267","1.0092","1.0445"
"Kamphaeng Phet","Lag 0","0.9937","0.9594","1.0292"
"Kanchanaburi","Lag 0","1.0082","0.9897","1.0271"
"Khon Kaen","Lag 0","1.0217","1.0097","1.0338"
"Lampang","Lag 0","0.9952","0.9812","1.0093"
"Lamphun","Lag 0","0.9969","0.9786","1.0155"
"Loei","Lag 0","1.0071","0.9913","1.0231"
"Lop Buri","Lag 0","1.0791","1.0431","1.1163"
"Mae Hong Son","Lag 0","1.0038","0.9863","1.0216"
"Mukdahan","Lag 0","1.0189","0.9265","1.1206"
"Nakhon Pathom","Lag 0","1.0146","0.9946","1.0351"
"Nakhon Phanom","Lag 0","1.0069","0.989","1.0252"
"Nakhon Ratchasima","Lag 0","1.0288","1.0154","1.0423"
"Nakhon Sawan","Lag 0","1.0103","0.9918","1.0291"
"Nakhon Si Thammarat","Lag 0","1.0465","1.0058","1.0888"
"Nan","Lag 0","0.9996","0.9853","1.0141"
"Narathiwat","Lag 0","0.9784","0.9445","1.0135"
"Nong Khai","Lag 0","1.0211","1.0047","1.0377"
"Pathum Thani","Lag 0","0.9953","0.9744","1.0167"
"Phayao","Lag 0","0.9924","0.9773","1.0077"
"Phetchabun","Lag 0","1.0173","0.9796","1.0564"
"Phichit","Lag 0","1.0063","0.965","1.0494"
"Phitsanulok","Lag 0","1.0151","0.999","1.0315"
"Phra Nakhon Si Ayutthaya","Lag 0","1.0056","0.9855","1.0262"
"Phrae","Lag 0","0.9967","0.9806","1.013"
"Phuket","Lag 0","0.9965","0.9317","1.0657"
"Prachin Buri","Lag 0","1.0245","1.0008","1.0488"
"Prachuap Khiri Khan","Lag 0","1.0298","0.9791","1.0831"
"Ratchaburi","Lag 0","1.0244","1.0099","1.0392"
"Rayong","Lag 0","1.0392","1.0134","1.0657"
"Sa Kaeo","Lag 0","1.0166","0.9878","1.0463"
"Sakon Nakhon","Lag 0","0.9999","0.9683","1.0325"
"Samut Prakan","Lag 0","1.0142","0.9972","1.0316"
"Samut Songkhram","Lag 0","0.9785","0.9433","1.015"
"Satun","Lag 0","0.9993","0.9475","1.0538"
"Songkhla","Lag 0","1.0178","0.9895","1.0469"
"Sukhothai","Lag 0","1.0253","1.0011","1.0502"
"Suphan Buri","Lag 0","0.994","0.9706","1.018"
"Surat Thani","Lag 0","1.0117","0.9805","1.044"
"Tak","Lag 0","0.9943","0.9718","1.0174"
"Trang","Lag 0","0.9719","0.8868","1.0652"
"Trat","Lag 0","1.0669","0.9889","1.1509"
"Ubon Ratchathani","Lag 0","1.0136","1.0031","1.0241"
"Udon Thani","Lag 0","1.0188","0.9969","1.0412"
"Uthai Thani","Lag 0","1.0137","0.9656","1.0643"
"Uttaradit","Lag 0","0.9892","0.9508","1.0291"
"Yala","Lag 0","1.0208","0.9809","1.0624"
