"Province","Lag","RR","Lower","Upper"
"Bangkok","Lag 3","1.0059","1.0005","1.0113"
"Buri Ram","Lag 3","1.0111","0.9902","1.0324"
"Chachoengsao","Lag 3","0.9987","0.9859","1.0116"
"Chanthaburi","Lag 3","0.9953","0.951","1.0417"
"Chiang Mai","Lag 3","0.9989","0.9935","1.0042"
"Chiang Rai","Lag 3","1.0002","0.996","1.0044"
"Chon Buri","Lag 3","0.9991","0.9893","1.009"
"Kamphaeng Phet","Lag 3","0.997","0.9735","1.021"
"Kanchanaburi","Lag 3","0.9992","0.9883","1.0102"
"Khon Kaen","Lag 3","0.9956","0.989","1.0023"
"Lampang","Lag 3","1.002","0.9936","1.0105"
"Lamphun","Lag 3","1.0061","0.9952","1.0172"
"Loei","Lag 3","0.9907","0.9813","1.0002"
"Lop Buri","Lag 3","0.9846","0.9641","1.0055"
"Mae Hong Son","Lag 3","1.0022","0.9914","1.013"
"Mukdahan","Lag 3","0.9821","0.93","1.0372"
"Nakhon Pathom","Lag 3","1.0101","0.9987","1.0217"
"Nakhon Phanom","Lag 3","0.9956","0.9852","1.006"
"Nakhon Ratchasima","Lag 3","1.0042","0.9964","1.0121"
"Nakhon Sawan","Lag 3","1.0022","0.9912","1.0134"
"Nakhon Si Thammarat","Lag 3","0.9847","0.9617","1.0082"
"Nan","Lag 3","1.0026","0.9938","1.0114"
"Narathiwat","Lag 3","1.0091","0.9885","1.0302"
"Nong Khai","Lag 3","0.9888","0.9796","0.9981"
"Pathum Thani","Lag 3","1.0099","0.9976","1.0224"
"Phayao","Lag 3","0.998","0.9888","1.0073"
"Phetchabun","Lag 3","0.9916","0.968","1.0157"
"Phichit","Lag 3","1.0014","0.9759","1.0276"
"Phitsanulok","Lag 3","1.0029","0.993","1.0129"
"Phra Nakhon Si Ayutthaya","Lag 3","1.0036","0.992","1.0153"
"Phrae","Lag 3","0.9995","0.9899","1.0091"
"Phuket","Lag 3","0.9935","0.9555","1.0331"
"Prachin Buri","Lag 3","1.0006","0.9869","1.0145"
"Prachuap Khiri Khan","Lag 3","1.0191","0.9875","1.0516"
"Ratchaburi","Lag 3","0.9946","0.9863","1.0029"
"Rayong","Lag 3","0.988","0.974","1.0022"
"Sa Kaeo","Lag 3","1.0021","0.9853","1.0192"
"Sakon Nakhon","Lag 3","1.0088","0.9898","1.0281"
"Samut Prakan","Lag 3","1.0021","0.9924","1.0118"
"Samut Songkhram","Lag 3","1.0285","1.0071","1.0503"
"Satun","Lag 3","0.9988","0.9688","1.0298"
"Songkhla","Lag 3","1.0003","0.9844","1.0164"
"Sukhothai","Lag 3","0.9913","0.9762","1.0066"
"Suphan Buri","Lag 3","1.0053","0.9911","1.0196"
"Surat Thani","Lag 3","1.0138","0.9954","1.0325"
"Tak","Lag 3","1.0003","0.9866","1.0143"
"Trang","Lag 3","0.9941","0.9419","1.0492"
"Trat","Lag 3","0.9966","0.9516","1.0437"
"Ubon Ratchathani","Lag 3","0.9972","0.9912","1.0032"
"Udon Thani","Lag 3","1.007","0.9943","1.0199"
"Uthai Thani","Lag 3","1.0079","0.9766","1.0401"
"Uttaradit","Lag 3","1.016","0.9918","1.0408"
"Yala","Lag 3","1.002","0.9794","1.0251"
