"Province","cumulative_Lag","RR","Lower","Upper"
"Bangkok","cumulative_Lag 3","1.0384","1.0241","1.053"
"Buri Ram","cumulative_Lag 3","1.0605","1.0057","1.1183"
"Chachoengsao","cumulative_Lag 3","1.0618","1.0263","1.0986"
"Chanthaburi","cumulative_Lag 3","0.9946","0.8993","1.1"
"Chiang Mai","cumulative_Lag 3","1.0131","0.9993","1.0272"
"Chiang Rai","cumulative_Lag 3","0.9891","0.9797","0.9986"
"Chon Buri","cumulative_Lag 3","1.0477","1.0209","1.0753"
"Kamphaeng Phet","cumulative_Lag 3","0.9787","0.9208","1.0402"
"Kanchanaburi","cumulative_Lag 3","1.0135","0.9868","1.041"
"Khon Kaen","cumulative_Lag 3","1.031","1.0117","1.0507"
"Lampang","cumulative_Lag 3","0.9952","0.9745","1.0164"
"Lamphun","cumulative_Lag 3","1.0084","0.9819","1.0357"
"Loei","cumulative_Lag 3","0.9914","0.9675","1.016"
"Lop Buri","cumulative_Lag 3","1.111","1.0529","1.1723"
"Mae Hong Son","cumulative_Lag 3","1.0119","0.9886","1.0357"
"Mukdahan","cumulative_Lag 3","0.9942","0.8404","1.1763"
"Nakhon Pathom","cumulative_Lag 3","1.0508","1.02","1.0826"
"Nakhon Phanom","cumulative_Lag 3","1.0016","0.9707","1.0335"
"Nakhon Ratchasima","cumulative_Lag 3","1.0642","1.044","1.0848"
"Nakhon Sawan","cumulative_Lag 3","1.0239","0.9952","1.0534"
"Nakhon Si Thammarat","cumulative_Lag 3","1.0477","0.9861","1.1132"
"Nan","cumulative_Lag 3","1.0064","0.9849","1.0284"
"Narathiwat","cumulative_Lag 3","0.9778","0.9255","1.0331"
"Nong Khai","cumulative_Lag 3","1.0129","0.9872","1.0393"
"Pathum Thani","cumulative_Lag 3","1.0135","0.9818","1.0461"
"Phayao","cumulative_Lag 3","0.9816","0.9597","1.0039"
"Phetchabun","cumulative_Lag 3","1.0117","0.9484","1.0793"
"Phichit","cumulative_Lag 3","1.0145","0.9476","1.0862"
"Phitsanulok","cumulative_Lag 3","1.0346","1.0098","1.0599"
"Phra Nakhon Si Ayutthaya","cumulative_Lag 3","1.0187","0.9877","1.0507"
"Phrae","cumulative_Lag 3","0.9909","0.9667","1.0158"
"Phuket","cumulative_Lag 3","0.9752","0.8766","1.0848"
"Prachin Buri","cumulative_Lag 3","1.0482","1.0142","1.0834"
"Prachuap Khiri Khan","cumulative_Lag 3","1.1014","1.0233","1.1854"
"Ratchaburi","cumulative_Lag 3","1.033","1.0129","1.0535"
"Rayong","cumulative_Lag 3","1.0433","1.0049","1.083"
"Sa Kaeo","cumulative_Lag 3","1.0358","0.9965","1.0766"
"Sakon Nakhon","cumulative_Lag 3","1.0198","0.9713","1.0707"
"Samut Prakan","cumulative_Lag 3","1.0323","1.0059","1.0594"
"Samut Songkhram","cumulative_Lag 3","1.0232","0.9685","1.081"
"Satun","cumulative_Lag 3","0.9953","0.9147","1.083"
"Songkhla","cumulative_Lag 3","1.0341","0.9897","1.0805"
"Sukhothai","cumulative_Lag 3","1.0264","0.9879","1.0664"
"Suphan Buri","cumulative_Lag 3","0.9987","0.962","1.0368"
"Surat Thani","cumulative_Lag 3","1.0537","1.0023","1.1076"
"Tak","cumulative_Lag 3","0.9903","0.9562","1.0255"
"Trang","cumulative_Lag 3","0.9404","0.813","1.0877"
"Trat","cumulative_Lag 3","1.1217","1.0196","1.234"
"Ubon Ratchathani","cumulative_Lag 3","1.0189","1.0022","1.0359"
"Udon Thani","cumulative_Lag 3","1.0519","1.0173","1.0876"
"Uthai Thani","cumulative_Lag 3","1.0417","0.9642","1.1254"
"Uttaradit","cumulative_Lag 3","1.0176","0.9641","1.0741"
"Yala","cumulative_Lag 3","1.0459","0.985","1.1107"
