"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 3","1.0236","1.0142","1.0331"
"กาญจนบุรี","cumulative_Lag 3","1.0077","0.9875","1.0283"
"กำแพงเพชร","cumulative_Lag 3","1.0004","0.9553","1.0477"
"ขอนแก่น","cumulative_Lag 3","1.025","1.0102","1.0399"
"จันทบุรี","cumulative_Lag 3","1.0243","0.9483","1.1064"
"ฉะเชิงเทรา","cumulative_Lag 3","1.0428","1.0149","1.0714"
"ชลบุรี","cumulative_Lag 3","1.0365","1.0159","1.0576"
"ตรัง","cumulative_Lag 3","1.0052","0.9052","1.1163"
"ตราด","cumulative_Lag 3","1.076","0.9946","1.1641"
"ตาก","cumulative_Lag 3","0.9875","0.9624","1.0133"
"นครปฐม","cumulative_Lag 3","1.0423","1.019","1.066"
"นครพนม","cumulative_Lag 3","1.0053","0.9792","1.0321"
"นครราชสีมา","cumulative_Lag 3","1.0452","1.0303","1.0603"
"นครศรีธรรมราช","cumulative_Lag 3","1.0446","0.9981","1.0933"
"นครสวรรค์","cumulative_Lag 3","1.0492","1.0276","1.0712"
"นราธิวาส","cumulative_Lag 3","0.9924","0.9538","1.0326"
"น่าน","cumulative_Lag 3","1.0079","0.9919","1.0241"
"บุรีรัมย์","cumulative_Lag 3","1.0441","1.0011","1.089"
"ปทุมธานี","cumulative_Lag 3","1.0169","0.995","1.0392"
"ประจวบคีรีขันธ์","cumulative_Lag 3","1.0533","0.9971","1.1126"
"ปราจีนบุรี","cumulative_Lag 3","1.0297","1.0029","1.0573"
"พระนครศรีอยุธยา","cumulative_Lag 3","1.0187","0.9955","1.0424"
"พะเยา","cumulative_Lag 3","0.9833","0.9676","0.9993"
"พิจิตร","cumulative_Lag 3","1.0209","0.9649","1.0802"
"พิษณุโลก","cumulative_Lag 3","1.0351","1.0164","1.0542"
"ภูเก็ต","cumulative_Lag 3","0.9919","0.9138","1.0768"
"มุกดาหาร","cumulative_Lag 3","0.9352","0.8248","1.0603"
"ยะลา","cumulative_Lag 3","1.0151","0.9697","1.0626"
"ระยอง","cumulative_Lag 3","1.0241","0.9965","1.0524"
"ราชบุรี","cumulative_Lag 3","1.0258","1.0107","1.0412"
"ลพบุรี","cumulative_Lag 3","1.0728","1.0265","1.1211"
"ลำปาง","cumulative_Lag 3","1.0024","0.9877","1.0173"
"ลำพูน","cumulative_Lag 3","0.9979","0.9781","1.018"
"สกลนคร","cumulative_Lag 3","0.9981","0.9623","1.0353"
"สงขลา","cumulative_Lag 3","1.0258","0.9943","1.0582"
"สตูล","cumulative_Lag 3","1.0045","0.941","1.0722"
"สมุทรปราการ","cumulative_Lag 3","1.0147","0.9964","1.0334"
"สมุทรสงคราม","cumulative_Lag 3","1.0614","1.016","1.1089"
"สระแก้ว","cumulative_Lag 3","1.0186","0.9873","1.051"
"สุพรรณบุรี","cumulative_Lag 3","1.014","0.9852","1.0436"
"สุราษฎร์ธานี","cumulative_Lag 3","1.0326","0.994","1.0727"
"สุโขทัย","cumulative_Lag 3","1.0086","0.977","1.0411"
"หนองคาย","cumulative_Lag 3","1.0098","0.9897","1.0302"
"อุดรธานี","cumulative_Lag 3","1.0332","1.0065","1.0606"
"อุตรดิตถ์","cumulative_Lag 3","1.0179","0.9765","1.061"
"อุทัยธานี","cumulative_Lag 3","1.0009","0.942","1.0635"
"อุบลราชธานี","cumulative_Lag 3","1.0089","0.9962","1.0217"
"เชียงราย","cumulative_Lag 3","0.9927","0.9855","0.9999"
"เชียงใหม่","cumulative_Lag 3","1.0058","0.9959","1.0158"
"เพชรบูรณ์","cumulative_Lag 3","1.0199","0.967","1.0758"
"เลย","cumulative_Lag 3","0.9962","0.9781","1.0147"
"แพร่","cumulative_Lag 3","1.0011","0.9814","1.0211"
"แม่ฮ่องสอน","cumulative_Lag 3","1.0062","0.9866","1.0262"
