"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 5","1.0264","1.0157","1.0372"
"กาญจนบุรี","cumulative_Lag 5","1.0112","0.9883","1.0346"
"กำแพงเพชร","cumulative_Lag 5","1.0231","0.9667","1.0828"
"ขอนแก่น","cumulative_Lag 5","1.014","0.9974","1.0309"
"จันทบุรี","cumulative_Lag 5","1.049","0.9616","1.1443"
"ฉะเชิงเทรา","cumulative_Lag 5","1.0343","1.0026","1.067"
"ชลบุรี","cumulative_Lag 5","1.0456","1.022","1.0698"
"ตรัง","cumulative_Lag 5","0.9817","0.8716","1.1057"
"ตราด","cumulative_Lag 5","1.0673","0.9731","1.1705"
"ตาก","cumulative_Lag 5","0.9843","0.9557","1.0138"
"นครปฐม","cumulative_Lag 5","1.0587","1.0324","1.0857"
"นครพนม","cumulative_Lag 5","0.998","0.9678","1.0292"
"นครราชสีมา","cumulative_Lag 5","1.0439","1.0269","1.0612"
"นครศรีธรรมราช","cumulative_Lag 5","1.0197","0.9685","1.0735"
"นครสวรรค์","cumulative_Lag 5","1.0428","1.0181","1.0681"
"นราธิวาส","cumulative_Lag 5","1.0125","0.9678","1.0592"
"น่าน","cumulative_Lag 5","1","0.9819","1.0185"
"บุรีรัมย์","cumulative_Lag 5","1.0632","1.012","1.117"
"ปทุมธานี","cumulative_Lag 5","1.0321","1.0073","1.0576"
"ประจวบคีรีขันธ์","cumulative_Lag 5","1.0513","0.9872","1.1194"
"ปราจีนบุรี","cumulative_Lag 5","1.0233","0.9931","1.0544"
"พระนครศรีอยุธยา","cumulative_Lag 5","1.0175","0.9916","1.044"
"พะเยา","cumulative_Lag 5","0.9827","0.9647","1.0011"
"พิจิตร","cumulative_Lag 5","1.031","0.9649","1.1015"
"พิษณุโลก","cumulative_Lag 5","1.0335","1.0116","1.056"
"ภูเก็ต","cumulative_Lag 5","0.9823","0.8937","1.0797"
"มุกดาหาร","cumulative_Lag 5","0.8963","0.7758","1.0355"
"ยะลา","cumulative_Lag 5","0.9982","0.9478","1.0513"
"ระยอง","cumulative_Lag 5","1.0122","0.9817","1.0436"
"ราชบุรี","cumulative_Lag 5","1.019","1.0023","1.036"
"ลพบุรี","cumulative_Lag 5","1.0459","0.9926","1.1022"
"ลำปาง","cumulative_Lag 5","1.0064","0.9897","1.0234"
"ลำพูน","cumulative_Lag 5","1.004","0.9812","1.0273"
"สกลนคร","cumulative_Lag 5","1.0061","0.9645","1.0494"
"สงขลา","cumulative_Lag 5","1.0272","0.9912","1.0645"
"สตูล","cumulative_Lag 5","1.0086","0.9363","1.0865"
"สมุทรปราการ","cumulative_Lag 5","1.0201","0.9992","1.0414"
"สมุทรสงคราม","cumulative_Lag 5","1.0966","1.0442","1.1517"
"สระแก้ว","cumulative_Lag 5","1.0352","0.9998","1.0719"
"สุพรรณบุรี","cumulative_Lag 5","1.0143","0.9819","1.0477"
"สุราษฎร์ธานี","cumulative_Lag 5","1.0432","0.9983","1.0902"
"สุโขทัย","cumulative_Lag 5","0.9957","0.9593","1.0336"
"หนองคาย","cumulative_Lag 5","0.999","0.9766","1.0219"
"อุดรธานี","cumulative_Lag 5","1.032","1.0014","1.0636"
"อุตรดิตถ์","cumulative_Lag 5","1.0209","0.973","1.0711"
"อุทัยธานี","cumulative_Lag 5","1.0235","0.9533","1.099"
"อุบลราชธานี","cumulative_Lag 5","0.9959","0.9814","1.0107"
"เชียงราย","cumulative_Lag 5","0.9911","0.9834","0.9989"
"เชียงใหม่","cumulative_Lag 5","1.0031","0.9921","1.0142"
"เพชรบูรณ์","cumulative_Lag 5","1.013","0.9511","1.0788"
"เลย","cumulative_Lag 5","0.9883","0.9674","1.0097"
"แพร่","cumulative_Lag 5","1.0054","0.9828","1.0284"
"แม่ฮ่องสอน","cumulative_Lag 5","1.0171","0.9945","1.0402"
