"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 6","1.0269","1.0159","1.0381"
"กาญจนบุรี","cumulative_Lag 6","1.0101","0.9874","1.0334"
"กำแพงเพชร","cumulative_Lag 6","1.0344","0.977","1.0951"
"ขอนแก่น","cumulative_Lag 6","1.0106","0.9933","1.0282"
"จันทบุรี","cumulative_Lag 6","1.0491","0.967","1.1381"
"ฉะเชิงเทรา","cumulative_Lag 6","1.0353","1.003","1.0687"
"ชลบุรี","cumulative_Lag 6","1.0465","1.0222","1.0714"
"ตรัง","cumulative_Lag 6","0.9545","0.847","1.0757"
"ตราด","cumulative_Lag 6","1.0464","0.9586","1.1423"
"ตาก","cumulative_Lag 6","0.9871","0.9586","1.0165"
"นครปฐม","cumulative_Lag 6","1.0591","1.0325","1.0865"
"นครพนม","cumulative_Lag 6","1.0022","0.9707","1.0348"
"นครราชสีมา","cumulative_Lag 6","1.0449","1.0278","1.0623"
"นครศรีธรรมราช","cumulative_Lag 6","1.0274","0.9763","1.0812"
"นครสวรรค์","cumulative_Lag 6","1.0434","1.0185","1.069"
"นราธิวาส","cumulative_Lag 6","1.0179","0.9727","1.0652"
"น่าน","cumulative_Lag 6","0.9927","0.9749","1.0109"
"บุรีรัมย์","cumulative_Lag 6","1.0694","1.0191","1.1222"
"ปทุมธานี","cumulative_Lag 6","1.0321","1.007","1.0578"
"ประจวบคีรีขันธ์","cumulative_Lag 6","1.0603","0.9981","1.1263"
"ปราจีนบุรี","cumulative_Lag 6","1.0251","0.9946","1.0565"
"พระนครศรีอยุธยา","cumulative_Lag 6","1.0156","0.9892","1.0426"
"พะเยา","cumulative_Lag 6","0.9826","0.9645","1.0011"
"พิจิตร","cumulative_Lag 6","1.0388","0.9722","1.1098"
"พิษณุโลก","cumulative_Lag 6","1.0332","1.0114","1.0554"
"ภูเก็ต","cumulative_Lag 6","0.9983","0.9058","1.1004"
"มุกดาหาร","cumulative_Lag 6","0.903","0.7791","1.0465"
"ยะลา","cumulative_Lag 6","0.9822","0.9313","1.0359"
"ระยอง","cumulative_Lag 6","1.022","0.9905","1.0544"
"ราชบุรี","cumulative_Lag 6","1.0174","1.0008","1.0344"
"ลพบุรี","cumulative_Lag 6","1.0512","0.9964","1.1089"
"ลำปาง","cumulative_Lag 6","1.0072","0.9903","1.0243"
"ลำพูน","cumulative_Lag 6","1.002","0.979","1.0256"
"สกลนคร","cumulative_Lag 6","1.0096","0.9665","1.0547"
"สงขลา","cumulative_Lag 6","1.031","0.9929","1.0705"
"สตูล","cumulative_Lag 6","1.0055","0.9316","1.0852"
"สมุทรปราการ","cumulative_Lag 6","1.0197","0.9982","1.0416"
"สมุทรสงคราม","cumulative_Lag 6","1.0995","1.0471","1.1544"
"สระแก้ว","cumulative_Lag 6","1.0357","1.0005","1.0722"
"สุพรรณบุรี","cumulative_Lag 6","1.0222","0.9901","1.0553"
"สุราษฎร์ธานี","cumulative_Lag 6","1.0464","0.9995","1.0955"
"สุโขทัย","cumulative_Lag 6","1.0004","0.9652","1.037"
"หนองคาย","cumulative_Lag 6","1.0008","0.9778","1.0243"
"อุดรธานี","cumulative_Lag 6","1.0315","1","1.064"
"อุตรดิตถ์","cumulative_Lag 6","1.0234","0.9757","1.0734"
"อุทัยธานี","cumulative_Lag 6","1.0297","0.9605","1.1039"
"อุบลราชธานี","cumulative_Lag 6","0.9943","0.9792","1.0097"
"เชียงราย","cumulative_Lag 6","0.9913","0.9842","0.9986"
"เชียงใหม่","cumulative_Lag 6","1.0041","0.9933","1.0149"
"เพชรบูรณ์","cumulative_Lag 6","1.0165","0.955","1.0819"
"เลย","cumulative_Lag 6","0.9931","0.9714","1.0152"
"แพร่","cumulative_Lag 6","1.016","0.9928","1.0397"
"แม่ฮ่องสอน","cumulative_Lag 6","1.0214","1.0005","1.0427"
