"","model_1","model_2","model_3","model_4","model_5","model_6","model_7","model_8","model_9","model_10","model_11"
"1","cb_pollutant + ns(temperature, 3) + ns(humidity, 3) + ns(pressure, 3) + as.factor(is_holiday)","cb_pollutant","cb_pollutant + ns(temperature, 3)","cb_pollutant + ns(humidity, 3)","cb_pollutant + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3)","cb_pollutant + as.factor(is_holiday) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(pressure, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(humidity, 3)","cb_pollutant + as.factor(is_holiday) + ns(temperature, 3) + ns(pressure, 3)"
"2","356252.625168529","357022.810939966","356781.416642721","356941.502318935","356928.045433417","356246.052450746","356085.475817111","356185.009725437","356191.904200989","356132.32026289","356178.826927297"
