"Province","Lag","RR","Lower","Upper"
"Bangkok","Lag 1","1.0107","1.0047","1.0167"
"Buri Ram","Lag 1","1.0087","0.9881","1.0296"
"Chachoengsao","Lag 1","1.0199","1.0052","1.0347"
"Chanthaburi","Lag 1","0.996","0.949","1.0454"
"Chiang Mai","Lag 1","1.0055","0.9996","1.0115"
"Chiang Rai","Lag 1","0.9975","0.9928","1.0023"
"Chon Buri","Lag 1","1.0169","1.0059","1.028"
"Kamphaeng Phet","Lag 1","0.984","0.9608","1.0076"
"Kanchanaburi","Lag 1","1.0021","0.9905","1.014"
"Khon Kaen","Lag 1","1.01","1.0025","1.0175"
"Lampang","Lag 1","0.9966","0.9873","1.006"
"Lamphun","Lag 1","0.9988","0.9872","1.0106"
"Loei","Lag 1","0.9968","0.9865","1.0073"
"Lop Buri","Lag 1","1.0247","1.0028","1.0471"
"Mae Hong Son","Lag 1","1.0017","0.9904","1.0132"
"Mukdahan","Lag 1","0.9862","0.9273","1.0488"
"Nakhon Pathom","Lag 1","1.0165","1.0039","1.0293"
"Nakhon Phanom","Lag 1","0.9943","0.9828","1.006"
"Nakhon Ratchasima","Lag 1","1.0185","1.01","1.027"
"Nakhon Sawan","Lag 1","1.0081","0.9963","1.02"
"Nakhon Si Thammarat","Lag 1","1.0287","1.0028","1.0551"
"Nan","Lag 1","1.0033","0.9931","1.0136"
"Narathiwat","Lag 1","0.989","0.9673","1.0112"
"Nong Khai","Lag 1","1.006","0.9959","1.0163"
"Pathum Thani","Lag 1","1.0099","0.9962","1.0237"
"Phayao","Lag 1","0.9976","0.9874","1.0079"
"Phetchabun","Lag 1","1.0123","0.9882","1.037"
"Phichit","Lag 1","1.0166","0.9895","1.0444"
"Phitsanulok","Lag 1","1.0039","0.9932","1.0147"
"Phra Nakhon Si Ayutthaya","Lag 1","1.0047","0.9918","1.0177"
"Phrae","Lag 1","0.9956","0.9849","1.0065"
"Phuket","Lag 1","0.9976","0.9563","1.0408"
"Prachin Buri","Lag 1","1.0216","1.007","1.0364"
"Prachuap Khiri Khan","Lag 1","1.0154","0.9827","1.0492"
"Ratchaburi","Lag 1","1.0122","1.0029","1.0215"
"Rayong","Lag 1","1.0172","1.0013","1.0333"
"Sa Kaeo","Lag 1","1.0108","0.993","1.029"
"Sakon Nakhon","Lag 1","1.0014","0.9814","1.0219"
"Samut Prakan","Lag 1","1.0124","1.0016","1.0234"
"Samut Songkhram","Lag 1","0.9916","0.9687","1.015"
"Satun","Lag 1","0.9847","0.9523","1.0183"
"Songkhla","Lag 1","1.0076","0.9896","1.026"
"Sukhothai","Lag 1","1.01","0.9947","1.0255"
"Suphan Buri","Lag 1","0.9872","0.972","1.0027"
"Surat Thani","Lag 1","1.0108","0.991","1.0311"
"Tak","Lag 1","0.9941","0.979","1.0094"
"Trang","Lag 1","1.0047","0.9472","1.0657"
"Trat","Lag 1","1.0244","0.9744","1.077"
"Ubon Ratchathani","Lag 1","1.0057","0.9989","1.0125"
"Udon Thani","Lag 1","1.0102","0.9965","1.0241"
"Uthai Thani","Lag 1","1.0215","0.9897","1.0543"
"Uttaradit","Lag 1","1.0138","0.9864","1.042"
"Yala","Lag 1","1.0336","1.0074","1.0605"
