"Province","Lag","RR","Lower","Upper"
"Bangkok","Lag 2","1.0098","0.9992","1.0205"
"Buri Ram","Lag 2","0.9976","0.9659","1.0302"
"Chachoengsao","Lag 2","1.0087","0.9833","1.0346"
"Chanthaburi","Lag 2","1.005","0.9211","1.0965"
"Chiang Mai","Lag 2","1.0049","0.9946","1.0154"
"Chiang Rai","Lag 2","1.0014","0.9925","1.0103"
"Chon Buri","Lag 2","1.0112","0.9914","1.0313"
"Kamphaeng Phet","Lag 2","0.9723","0.9323","1.014"
"Kanchanaburi","Lag 2","0.9924","0.9718","1.0134"
"Khon Kaen","Lag 2","0.9978","0.9854","1.0104"
"Lampang","Lag 2","0.998","0.9807","1.0157"
"Lamphun","Lag 2","0.9993","0.9774","1.0217"
"Loei","Lag 2","0.9864","0.9683","1.0049"
"Lop Buri","Lag 2","0.9798","0.9432","1.0179"
"Mae Hong Son","Lag 2","0.9989","0.9783","1.02"
"Mukdahan","Lag 2","0.9516","0.8732","1.037"
"Nakhon Pathom","Lag 2","1.0222","0.9995","1.0453"
"Nakhon Phanom","Lag 2","0.9844","0.9674","1.0017"
"Nakhon Ratchasima","Lag 2","1.0084","0.9932","1.0238"
"Nakhon Sawan","Lag 2","1.0118","0.9913","1.0327"
"Nakhon Si Thammarat","Lag 2","1.0265","0.9845","1.0702"
"Nan","Lag 2","1.0039","0.9841","1.0241"
"Narathiwat","Lag 2","0.9974","0.9605","1.0356"
"Nong Khai","Lag 2","0.9956","0.9789","1.0125"
"Pathum Thani","Lag 2","1.0273","1.0025","1.0528"
"Phayao","Lag 2","1.0021","0.9826","1.0219"
"Phetchabun","Lag 2","1.0099","0.9711","1.0501"
"Phichit","Lag 2","1.0445","0.9959","1.0956"
"Phitsanulok","Lag 2","0.9906","0.9716","1.0099"
"Phra Nakhon Si Ayutthaya","Lag 2","1.0045","0.9816","1.0278"
"Phrae","Lag 2","0.9996","0.9792","1.0205"
"Phuket","Lag 2","1.0105","0.939","1.0875"
"Prachin Buri","Lag 2","1.0247","0.9992","1.0509"
"Prachuap Khiri Khan","Lag 2","0.999","0.9448","1.0563"
"Ratchaburi","Lag 2","1.0036","0.9864","1.021"
"Rayong","Lag 2","1.0064","0.9788","1.0348"
"Sa Kaeo","Lag 2","1.0056","0.9741","1.0381"
"Sakon Nakhon","Lag 2","1.0005","0.9684","1.0336"
"Samut Prakan","Lag 2","1.0133","0.9946","1.0324"
"Samut Songkhram","Lag 2","0.9947","0.9534","1.0378"
"Satun","Lag 2","0.9709","0.9151","1.03"
"Songkhla","Lag 2","0.998","0.9669","1.0301"
"Sukhothai","Lag 2","0.9981","0.9715","1.0254"
"Suphan Buri","Lag 2","0.98","0.9543","1.0064"
"Surat Thani","Lag 2","1.0085","0.9753","1.0428"
"Tak","Lag 2","0.9905","0.9632","1.0187"
"Trang","Lag 2","1.0276","0.9317","1.1335"
"Trat","Lag 2","0.9568","0.8663","1.0567"
"Ubon Ratchathani","Lag 2","0.9989","0.9875","1.0105"
"Udon Thani","Lag 2","0.9992","0.9765","1.0224"
"Uthai Thani","Lag 2","1.0471","0.9922","1.105"
"Uttaradit","Lag 2","1.035","0.9795","1.0935"
"Yala","Lag 2","1.0484","1.0025","1.0964"
