"Province","Q-AIC"
"กรุงเทพมหานคร",13493.8337299564
"กาญจนบุรี",9525.65339952559
"กำแพงเพชร",1795.80750411591
"ขอนแก่น",10128.1652113576
"จันทบุรี",1736.44072780019
"ฉะเชิงเทรา",6254.34257144394
"ชลบุรี",9736.99906018144
"ตรัง",2988.28679084077
"ตราด",2479.95816664993
"ตาก",7298.59025864671
"นครปฐม",6075.21039684823
"นครพนม",3594.63205313717
"นครราชสีมา",8149.45405000226
"นครศรีธรรมราช",4608.61825830316
"นครสวรรค์",7621.56737239193
"นนทบุรี",NA
"นราธิวาส",8641.06988758669
"น่าน",7268.89457739757
"บุรีรัมย์",2054.45135004941
"ปทุมธานี",6506.05673152434
"ประจวบคีรีขันธ์",1598.3516054275
"ปราจีนบุรี",8198.90850632734
"พระนครศรีอยุธยา",7193.91354434787
"พะเยา",5648.60581895598
"พิจิตร",1775.55868735106
"พิษณุโลก",3987.78974040211
"ภูเก็ต",4521.17609143497
"มุกดาหาร",980.17449928991
"ยะลา",8786.05333906794
"ระยอง",8390.12838398319
"ราชบุรี",9677.13137924797
"ลพบุรี",1960.30558412629
"ลำปาง",7105.46058547887
"ลำพูน",6610.45611110346
"สกลนคร",3214.28541030781
"สงขลา",9261.9146090037
"สตูล",6304.17265753018
"สมุทรปราการ",9444.59787483347
"สมุทรสงคราม",3417.8186901174
"สมุทรสาคร",NA
"สระบุรี",NA
"สระแก้ว",6171.50411326478
"สุพรรณบุรี",4153.52556339641
"สุราษฎร์ธานี",7587.91184485507
"สุโขทัย",1744.5019816964
"หนองคาย",4723.50062548004
"อุดรธานี",3828.96270949283
"อุตรดิตถ์",2704.77723175776
"อุทัยธานี",1501.04733311694
"อุบลราชธานี",6368.21127873092
"เชียงราย",8340.69884676333
"เชียงใหม่",11477.5447982615
"เพชรบูรณ์",1957.28994463435
"เลย",6569.05841062197
"แพร่",6002.0227282724
"แม่ฮ่องสอน",3988.22463992166
