"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 6","1.0474","1.0304","1.0646"
"กาญจนบุรี","cumulative_Lag 6","1.009","0.9791","1.0399"
"กำแพงเพชร","cumulative_Lag 6","1.0126","0.9388","1.0921"
"ขอนแก่น","cumulative_Lag 6","1.0098","0.987","1.033"
"จันทบุรี","cumulative_Lag 6","1.0119","0.91","1.1251"
"ฉะเชิงเทรา","cumulative_Lag 6","1.0607","1.0191","1.1041"
"ชลบุรี","cumulative_Lag 6","1.0468","1.0154","1.0791"
"ตรัง","cumulative_Lag 6","0.8803","0.7452","1.04"
"ตราด","cumulative_Lag 6","1.0743","0.9626","1.199"
"ตาก","cumulative_Lag 6","0.988","0.9493","1.0283"
"นครปฐม","cumulative_Lag 6","1.0684","1.0329","1.1051"
"นครพนม","cumulative_Lag 6","1.0077","0.97","1.0468"
"นครราชสีมา","cumulative_Lag 6","1.0658","1.0425","1.0897"
"นครศรีธรรมราช","cumulative_Lag 6","1.0519","0.9831","1.1255"
"นครสวรรค์","cumulative_Lag 6","1.0321","0.9985","1.0669"
"นราธิวาส","cumulative_Lag 6","1.0269","0.964","1.0939"
"น่าน","cumulative_Lag 6","0.9941","0.9705","1.0183"
"บุรีรัมย์","cumulative_Lag 6","1.0723","1.0091","1.1396"
"ปทุมธานี","cumulative_Lag 6","1.0321","0.9956","1.07"
"ประจวบคีรีขันธ์","cumulative_Lag 6","1.1413","1.0514","1.2388"
"ปราจีนบุรี","cumulative_Lag 6","1.0335","0.995","1.0734"
"พระนครศรีอยุธยา","cumulative_Lag 6","1.0226","0.9868","1.0597"
"พะเยา","cumulative_Lag 6","0.9793","0.9538","1.0055"
"พิจิตร","cumulative_Lag 6","1.021","0.9429","1.1055"
"พิษณุโลก","cumulative_Lag 6","1.0438","1.0148","1.0737"
"ภูเก็ต","cumulative_Lag 6","1.0174","0.895","1.1566"
"มุกดาหาร","cumulative_Lag 6","0.9334","0.7708","1.1302"
"ยะลา","cumulative_Lag 6","1.0171","0.9485","1.0906"
"ระยอง","cumulative_Lag 6","1.0392","0.9953","1.085"
"ราชบุรี","cumulative_Lag 6","1.0202","0.9982","1.0428"
"ลพบุรี","cumulative_Lag 6","1.0824","1.0138","1.1556"
"ลำปาง","cumulative_Lag 6","1.004","0.9799","1.0287"
"ลำพูน","cumulative_Lag 6","1.014","0.9828","1.0462"
"สกลนคร","cumulative_Lag 6","1.0338","0.9747","1.0964"
"สงขลา","cumulative_Lag 6","1.0294","0.9765","1.0851"
"สตูล","cumulative_Lag 6","0.9791","0.8843","1.0841"
"สมุทรปราการ","cumulative_Lag 6","1.0216","0.9913","1.0528"
"สมุทรสงคราม","cumulative_Lag 6","1.0946","1.0288","1.1646"
"สระแก้ว","cumulative_Lag 6","1.0404","0.997","1.0858"
"สุพรรณบุรี","cumulative_Lag 6","1.0349","0.9926","1.0791"
"สุราษฎร์ธานี","cumulative_Lag 6","1.0806","1.0172","1.148"
"สุโขทัย","cumulative_Lag 6","1.0164","0.9735","1.0611"
"หนองคาย","cumulative_Lag 6","0.9979","0.9684","1.0284"
"อุดรธานี","cumulative_Lag 6","1.0582","1.0168","1.1013"
"อุตรดิตถ์","cumulative_Lag 6","1.0245","0.9623","1.0908"
"อุทัยธานี","cumulative_Lag 6","1.0824","0.9899","1.1836"
"อุบลราชธานี","cumulative_Lag 6","1.0102","0.9902","1.0306"
"เชียงราย","cumulative_Lag 6","0.9903","0.9809","0.9997"
"เชียงใหม่","cumulative_Lag 6","1.0136","0.9985","1.029"
"เพชรบูรณ์","cumulative_Lag 6","1.008","0.9345","1.0874"
"เลย","cumulative_Lag 6","0.9818","0.9532","1.0112"
"แพร่","cumulative_Lag 6","1.013","0.9839","1.0428"
"แม่ฮ่องสอน","cumulative_Lag 6","1.0238","0.9974","1.0508"
