"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 5","1.0456","1.0292","1.0623"
"กาญจนบุรี","cumulative_Lag 5","1.0095","0.9794","1.0404"
"กำแพงเพชร","cumulative_Lag 5","0.9916","0.9199","1.069"
"ขอนแก่น","cumulative_Lag 5","1.0145","0.9926","1.0368"
"จันทบุรี","cumulative_Lag 5","0.9978","0.8908","1.1177"
"ฉะเชิงเทรา","cumulative_Lag 5","1.0555","1.015","1.0977"
"ชลบุรี","cumulative_Lag 5","1.043","1.0127","1.0742"
"ตรัง","cumulative_Lag 5","0.9127","0.7735","1.0769"
"ตราด","cumulative_Lag 5","1.1","0.98","1.2347"
"ตาก","cumulative_Lag 5","0.9882","0.949","1.029"
"นครปฐม","cumulative_Lag 5","1.0648","1.03","1.1009"
"นครพนม","cumulative_Lag 5","0.9988","0.9628","1.0362"
"นครราชสีมา","cumulative_Lag 5","1.0647","1.0415","1.0884"
"นครศรีธรรมราช","cumulative_Lag 5","1.0303","0.9621","1.1032"
"นครสวรรค์","cumulative_Lag 5","1.028","0.9949","1.0622"
"นราธิวาส","cumulative_Lag 5","1.01","0.9486","1.0754"
"น่าน","cumulative_Lag 5","1.0036","0.9795","1.0282"
"บุรีรัมย์","cumulative_Lag 5","1.0728","1.0079","1.1419"
"ปทุมธานี","cumulative_Lag 5","1.0305","0.9944","1.0679"
"ประจวบคีรีขันธ์","cumulative_Lag 5","1.1323","1.0402","1.2325"
"ปราจีนบุรี","cumulative_Lag 5","1.0376","0.9993","1.0774"
"พระนครศรีอยุธยา","cumulative_Lag 5","1.0225","0.9875","1.0587"
"พะเยา","cumulative_Lag 5","0.9799","0.9548","1.0058"
"พิจิตร","cumulative_Lag 5","1.0177","0.9397","1.1022"
"พิษณุโลก","cumulative_Lag 5","1.0391","1.0101","1.0689"
"ภูเก็ต","cumulative_Lag 5","0.9893","0.8738","1.1199"
"มุกดาหาร","cumulative_Lag 5","0.9241","0.7663","1.1143"
"ยะลา","cumulative_Lag 5","1.0327","0.9646","1.1055"
"ระยอง","cumulative_Lag 5","1.0254","0.9832","1.0694"
"ราชบุรี","cumulative_Lag 5","1.0195","0.9974","1.0422"
"ลพบุรี","cumulative_Lag 5","1.074","1.0074","1.1449"
"ลำปาง","cumulative_Lag 5","1.0013","0.9775","1.0258"
"ลำพูน","cumulative_Lag 5","1.0163","0.9856","1.0479"
"สกลนคร","cumulative_Lag 5","1.0333","0.9763","1.0936"
"สงขลา","cumulative_Lag 5","1.03","0.9794","1.0831"
"สตูล","cumulative_Lag 5","0.9804","0.8881","1.0824"
"สมุทรปราการ","cumulative_Lag 5","1.0273","0.9977","1.0579"
"สมุทรสงคราม","cumulative_Lag 5","1.0853","1.0199","1.155"
"สระแก้ว","cumulative_Lag 5","1.0374","0.9938","1.0829"
"สุพรรณบุรี","cumulative_Lag 5","1.0195","0.9773","1.0636"
"สุราษฎร์ธานี","cumulative_Lag 5","1.0748","1.0141","1.1392"
"สุโขทัย","cumulative_Lag 5","1.011","0.9669","1.0572"
"หนองคาย","cumulative_Lag 5","0.9947","0.966","1.0243"
"อุดรธานี","cumulative_Lag 5","1.0582","1.0181","1.0998"
"อุตรดิตถ์","cumulative_Lag 5","1.0338","0.9709","1.1008"
"อุทัยธานี","cumulative_Lag 5","1.0642","0.9707","1.1667"
"อุบลราชธานี","cumulative_Lag 5","1.011","0.9918","1.0306"
"เชียงราย","cumulative_Lag 5","0.9905","0.9804","1.0006"
"เชียงใหม่","cumulative_Lag 5","1.0114","0.9961","1.027"
"เพชรบูรณ์","cumulative_Lag 5","1.0009","0.9272","1.0805"
"เลย","cumulative_Lag 5","0.9785","0.9508","1.007"
"แพร่","cumulative_Lag 5","1.0006","0.9724","1.0296"
"แม่ฮ่องสอน","cumulative_Lag 5","1.0251","0.9964","1.0546"
