"Province","RR","Lower","Upper"
"กรุงเทพมหานคร",1.048,1.0281,1.0683
"กาญจนบุรี",1.0101,0.9761,1.0454
"กำแพงเพชร",1.0455,0.9648,1.1329
"ขอนแก่น",1.0094,0.983,1.0365
"จันทบุรี",1.0369,0.9274,1.1594
"ฉะเชิงเทรา",1.0749,1.0269,1.1252
"ชลบุรี",1.0573,1.0204,1.0956
"ตรัง",0.8339,0.6924,1.0043
"ตราด",1.039,0.917,1.1773
"ตาก",0.9878,0.9455,1.0319
"นครปฐม",1.0691,1.0276,1.1121
"นครพนม",1.025,0.9823,1.0696
"นครราชสีมา",1.0692,1.0425,1.0966
"นครศรีธรรมราช",1.1032,1.0236,1.189
"นครสวรรค์",1.0384,1.0004,1.0779
"นราธิวาส",1.0424,0.9711,1.119
"น่าน",0.9784,0.9515,1.006
"บุรีรัมย์",1.067,1.0018,1.1365
"ปทุมธานี",1.0274,0.9859,1.0707
"ประจวบคีรีขันธ์",1.1459,1.0509,1.2495
"ปราจีนบุรี",1.031,0.9865,1.0774
"พระนครศรีอยุธยา",1.0213,0.98,1.0643
"พะเยา",0.9784,0.9491,1.0087
"พิจิตร",1.026,0.9413,1.1183
"พิษณุโลก",1.0513,1.0192,1.0844
"ภูเก็ต",1.0667,0.921,1.2355
"มุกดาหาร",0.9554,0.7732,1.1805
"ยะลา",0.9964,0.9191,1.0803
"ระยอง",1.0737,1.0212,1.1288
"ราชบุรี",1.0287,1.0028,1.0553
"ลพบุรี",1.1188,1.0388,1.205
"ลำปาง",1.0059,0.9784,1.0342
"ลำพูน",1.0058,0.97,1.0429
"สกลนคร",1.0287,0.9603,1.102
"สงขลา",1.0311,0.9684,1.0978
"สตูล",0.9759,0.8664,1.0991
"สมุทรปราการ",1.0143,0.9795,1.0504
"สมุทรสงคราม",1.0888,1.0132,1.1701
"สระแก้ว",1.0465,0.9953,1.1002
"สุพรรณบุรี",1.0538,1.0071,1.1026
"สุราษฎร์ธานี",1.0816,1.0086,1.16
"สุโขทัย",1.034,0.9893,1.0806
"หนองคาย",1.013,0.9788,1.0484
"อุดรธานี",1.0564,1.0087,1.1065
"อุตรดิตถ์",0.9991,0.9286,1.075
"อุทัยธานี",1.1069,1.0076,1.216
"อุบลราชธานี",1.0129,0.9896,1.0368
"เชียงราย",0.989,0.9784,0.9997
"เชียงใหม่",1.0189,1.0019,1.0362
"เพชรบูรณ์",1.0269,0.9478,1.1126
"เลย",0.9937,0.9608,1.0277
"แพร่",1.0312,0.9976,1.0658
"แม่ฮ่องสอน",1.0177,0.9893,1.047
